Day,pnl_absolute,cum_pnl,roi,returns,pnl_absolute fro excel sheet ,difference
2022-01-03,-1267.5,-1267.5,-0.84,-0.845,-1267.5,0
2022-01-04,13.75,-1253.75,-0.84,-0.835833333333333,13.75,0
2022-01-05,-2023.75,-3277.5,-2.18,-2.185,-2023.75,0
2022-01-06,-2058.75,-5336.25,-3.56,-3.5575,-2058.75,0
2022-01-07,137.5,-5198.75,-3.47,-3.46583333333333,137.5,0
2022-01-10,347.5,-4851.25,-3.23,-3.23416666666667,347.5,0
2022-01-11,441.25,-4410,-2.94,-2.94,441.25,0
2022-01-12,912.5,-3497.5,-2.33,-2.33166666666667,912.5,0
2022-01-13,2707.5,-790,-0.53,-0.526666666666667,2707.5,0
2022-01-14,-28.75,-818.75,-0.55,-0.545833333333333,-28.75,0
2022-01-17,57.5,-761.25,-0.51,-0.5075,57.5,0
2022-01-18,363.75,-397.5,-0.26,-0.265,363.75,0
2022-01-19,1035,637.5,0.43,0.425,1035,0
2022-01-20,-2201.25,-1563.75,-1.04,-1.0425,-2201.25,0
2022-01-21,291.25,-1272.5,-0.85,-0.848333333333333,291.25,0
2022-01-24,-978.75,-2251.25,-1.5,-1.50083333333333,-978.75,0
2022-01-25,-1607.5,-3858.75,-2.57,-2.5725,-1607.5,0
2022-01-27,-2065,-5923.75,-3.95,-3.94916666666667,-2065,0
2022-01-28,-112.5,-6036.25,-4.02,-4.02416666666667,-112.5,0
2022-01-31,-465,-6501.25,-4.33,-4.33416666666667,-465,0
2022-02-01,860,-5641.25,-3.76,-3.76083333333333,860,0
2022-02-02,642.5,-4998.75,-3.33,-3.3325,642.5,0
2022-02-03,2113.75,-2885,-1.92,-1.92333333333333,2113.75,0
2022-02-04,-86.25,-2971.25,-1.98,-1.98083333333333,-86.25,0
2022-02-07,-952.5,-3923.75,-2.62,-2.61583333333333,-952.5,0
2022-02-08,538.75,-3385,-2.26,-2.25666666666667,538.75,0
2022-02-09,33.75,-3351.25,-2.23,-2.23416666666667,33.75,0
2022-02-10,-2227.5,-5578.75,-3.72,-3.71916666666667,-2227.5,0
2022-02-11,190,-5388.75,-3.59,-3.5925,190,0
2022-02-14,645,-4743.75,-3.16,-3.1625,645,0
2022-02-15,-1523.75,-6267.5,-4.18,-4.17833333333333,-1523.75,0
2022-02-16,523.75,-5743.75,-3.83,-3.82916666666667,523.75,0
2022-02-17,-1683.75,-7427.5,-4.95,-4.95166666666667,-1683.75,0
2022-02-18,-52.5,-7480,-4.99,-4.98666666666667,-52.5,0
2022-02-21,-55,-7535,-5.02,-5.02333333333333,-55,0
2022-02-22,-46.25,-7581.25,-5.05,-5.05416666666667,-46.25,0
2022-02-23,788.75,-6792.5,-4.53,-4.52833333333333,788.75,0
2022-02-24,-2240,-9032.5,-6.02,-6.02166666666667,-2240,0
2022-02-25,-456.25,-9488.75,-6.33,-6.32583333333333,-456.25,0
2022-02-28,-258.75,-9747.5,-6.5,-6.49833333333333,-258.75,0
2022-03-02,428.75,-9318.75,-6.21,-6.2125,428.75,0
2022-03-03,-1986.25,-11305,-7.54,-7.53666666666667,-1986.25,0
2022-03-04,185,-11120,-7.41,-7.41333333333333,185,0
2022-03-07,-460,-11580,-7.72,-7.72,-460,0
2022-03-08,-647.5,-12227.5,-8.15,-8.15166666666667,-647.5,0
2022-03-09,-781.25,-13008.75,-8.67,-8.6725,-781.25,0
2022-03-10,-2375,-15383.75,-10.26,-10.2558333333333,-2375,0
2022-03-11,-132.5,-15516.25,-10.34,-10.3441666666667,-132.5,0
2022-03-14,-458.75,-15975,-10.65,-10.65,-458.75,0
2022-03-15,183.75,-15791.25,-10.53,-10.5275,183.75,0
2022-03-16,453.75,-15337.5,-10.22,-10.225,453.75,0
2022-03-17,4610,-10727.5,-7.15,-7.15166666666667,4610,0
2022-03-21,-45,-10772.5,-7.18,-7.18166666666667,-45,0
2022-03-22,-57.5,-10830,-7.22,-7.22,-57.5,0
2022-03-23,-625,-11455,-7.64,-7.63666666666667,-625,0
2022-03-24,5063.75,-6391.25,-4.26,-4.26083333333333,5063.75,0
2022-03-25,-58.75,-6450,-4.3,-4.3,-58.75,0
2022-03-28,-247.5,-6697.5,-4.46,-4.465,-247.5,0
2022-03-29,170,-6527.5,-4.35,-4.35166666666667,170,0
2022-03-30,65,-6462.5,-4.31,-4.30833333333333,65,0
2022-03-31,4758.75,-1703.75,-1.14,-1.13583333333333,4758.75,0
2022-04-01,-283.75,-1987.5,-1.32,-1.325,-283.75,0
2022-04-04,-1006.25,-2993.75,-2,-1.99583333333333,-1006.25,0
2022-04-05,580,-2413.75,-1.61,-1.60916666666667,580,0
2022-04-06,1182.5,-1231.25,-0.82,-0.820833333333333,1182.5,0
2022-04-07,-1616.25,-2847.5,-1.9,-1.89833333333333,-1616.25,0
2022-04-08,270,-2577.5,-1.72,-1.71833333333333,270,0
2022-04-11,282.5,-2295,-1.53,-1.53,282.5,0
2022-04-12,-488.75,-2783.75,-1.86,-1.85583333333333,-488.75,0
2022-04-13,-1701.25,-4485,-2.99,-2.99,-1701.25,0
2022-04-18,250,-4235,-2.82,-2.82333333333333,250,0
2022-04-19,352.5,-3882.5,-2.59,-2.58833333333333,352.5,0
2022-04-20,992.5,-2890,-1.93,-1.92666666666667,992.5,0
2022-04-21,507.5,-2382.5,-1.59,-1.58833333333333,507.5,0
2022-04-22,-175,-2557.5,-1.7,-1.705,-175,0
2022-04-25,-468.75,-3026.25,-2.02,-2.0175,-468.75,0
2022-04-26,85,-2941.25,-1.96,-1.96083333333333,85,0
2022-04-27,703.75,-2237.5,-1.49,-1.49166666666667,703.75,0
2022-04-28,-1518.75,-3756.25,-2.5,-2.50416666666667,-1518.75,0
2022-04-29,75,-3681.25,-2.45,-2.45416666666667,75,0
2022-05-02,270,-3411.25,-2.27,-2.27416666666667,270,0
2022-05-04,-2353.75,-5765,-3.84,-3.84333333333333,14482.5,16836.25
2022-05-05,-1997.5,-7762.5,-5.18,-5.175,-13800,-11802.5
2022-05-06,298.75,-7463.75,-4.98,-4.97583333333333,-4825,-5123.75
2022-05-09,140,-7323.75,-4.88,-4.8825,-2468.75,-2608.75
2022-05-10,230,-7093.75,-4.73,-4.72916666666667,336.25,106.25
2022-05-11,903.75,-6190,-4.13,-4.12666666666667,2596.25,1692.5
2022-05-12,-1985,-8175,-5.45,-5.45,4871.25,6856.25
2022-05-13,-65,-8240,-5.49,-5.49333333333333,917.5,982.5
2022-05-16,-477.5,-8717.5,-5.81,-5.81166666666667,-13031.25,-12553.75
2022-05-17,-345,-9062.5,-6.04,-6.04166666666667,-191.25,153.75
2022-05-18,236.25,-8826.25,-5.88,-5.88416666666667,9281.25,9045
2022-05-19,3687.5,-5138.75,-3.43,-3.42583333333333,-765,-4452.5
2022-05-20,-387.5,-5526.25,-3.68,-3.68416666666667,-4367.5,-3980
2022-05-23,297.5,-5228.75,-3.49,-3.48583333333333,3187.5,2890
2022-05-24,412.5,-4816.25,-3.21,-3.21083333333333,691.25,278.75
2022-05-25,682.5,-4133.75,-2.76,-2.75583333333333,5445,4762.5
2022-05-26,-1765,-5898.75,-3.93,-3.9325,-9163.75,-7398.75
2022-05-27,86.25,-5812.5,-3.88,-3.875,1560,1473.75
2022-05-30,197.5,-5615,-3.74,-3.74333333333333,3471.25,3273.75
2022-05-31,161.25,-5453.75,-3.64,-3.63583333333333,-1395,-1556.25
2022-06-01,240,-5213.75,-3.48,-3.47583333333333,1413.75,1173.75
2022-06-02,830,-4383.75,-2.92,-2.9225,-2290,-3120
2022-06-03,-401.25,-4785,-3.19,-3.19,12555,12956.25
2022-06-06,62.5,-4722.5,-3.15,-3.14833333333333,-10448.75,-10511.25
2022-06-07,93.75,-4628.75,-3.09,-3.08583333333333,1336.25,1242.5
2022-06-08,1140,-3488.75,-2.33,-2.32583333333333,427.5,-712.5
2022-06-09,825,-2663.75,-1.78,-1.77583333333333,-2446.25,-3271.25
2022-06-10,26.25,-2637.5,-1.76,-1.75833333333333,5998.75,5972.5
2022-06-13,106.25,-2531.25,-1.69,-1.6875,-847.5,-953.75
2022-06-14,232.5,-2298.75,-1.53,-1.5325,-1061.25,-1293.75
2022-06-15,248.75,-2050,-1.37,-1.36666666666667,352.5,103.75
2022-06-16,-1621.25,-3671.25,-2.45,-2.4475,2478.75,4100
2022-06-17,-266.25,-3937.5,-2.62,-2.625,-9472.5,-9206.25
2022-06-20,158.75,-3778.75,-2.52,-2.51916666666667,7017.5,6858.75
2022-06-21,-543.75,-4322.5,-2.88,-2.88166666666667,-6546.25,-6002.5
2022-06-22,945,-3377.5,-2.25,-2.25166666666667,5250,4305
2022-06-23,-1436.25,-4813.75,-3.21,-3.20916666666667,-3155,-1718.75
2022-06-24,88.75,-4725,-3.15,-3.15,477.5,388.75
2022-06-27,127.5,-4597.5,-3.06,-3.065,3166.25,3038.75
2022-06-28,377.5,-4220,-2.81,-2.81333333333333,-3176.25,-3553.75
2022-06-29,311.25,-3908.75,-2.61,-2.60583333333333,278.75,-32.5
2022-06-30,-1655,-5563.75,-3.71,-3.70916666666667,-1987.5,-332.5
2022-07-01,-107.5,-5671.25,-3.78,-3.78083333333333,-3208.75,-3101.25
