,instrument_str,entry_timestamp,EN_ID,entry_transaction_type,entry_quantity,entry_price,EN_CODE,EN_VAR,exit_timestamp,EX_ID,exit_transaction_type,exit_quantity,exit_price,EX_CODE,EX_VAR,pnl_absolute,pnl_cumulative_absolute,pnl_percentage,pnl_cumulative_percentage,equity_curve,drawdown_percentage,Drawdown ?,Date
0,NSE_FO:NIFTY02JUL2010300PE [LOCAL],01-07-2020 09:17,1b2cf8c90060410aaf5eebaffd576d3d,SELL,50,96.2,INTRADAY,MARKET,01-07-2020 09:17,1f4504c61b4547df99ccdb17e87b9f65,BUY,50,16.1,INTRADAY,MARKET,4005.0,4005.0,83.26,1.6,254005.0,0.0,0.0,01-07-2020
1,NSE_FO:NIFTY02JUL2010300CE [LOCAL],01-07-2020 09:17,6298d3e61b3f48d79d7d73c4aede693f,SELL,50,82.45,INTRADAY,MARKET,01-07-2020 09:17,7897356bc9e24dc89315034a4d74533e,BUY,50,105.95,INTRADAY,MARKET,-1175.0,2830.0,-28.5,1.13,252830.0,-0.46,-1175.0,01-07-2020
2,NSE_FO:NIFTY02JUL2010400CE [LOCAL],01-07-2020 11:59,65e04c9eae5543a0babb7848903b7883,SELL,50,51.25,INTRADAY,MARKET,01-07-2020 11:59,40a48fb219bf46a6a124e07692cc9a3b,BUY,50,85.35,INTRADAY,MARKET,-1705.0,1125.0,-66.54,0.45,251125.0,-1.13,-2880.0,01-07-2020
3,NSE_FO:NIFTY02JUL2010400PE [LOCAL],01-07-2020 12:47,aedac00d863e473893f69c931ead6559,SELL,50,68.7,INTRADAY,MARKET,01-07-2020 12:47,0c3b557dc14a42b8a0977dc4640b9a04,BUY,50,38.1,INTRADAY,MARKET,1530.0,2655.0,44.54,1.06,252655.0,-0.53,-1350.0,01-07-2020
4,NSE_FO:NIFTY02JUL2010500CE [LOCAL],01-07-2020 15:04,4450ba18f7214ae48ea5dfdd49513fb3,SELL,50,34.0,INTRADAY,MARKET,01-07-2020 15:04,78fac40e89894679960e0bf2f8751794,BUY,50,34.45,INTRADAY,MARKET,-22.5,2632.5,-1.32,1.05,252632.5,-0.54,-1372.5,01-07-2020
5,NSE_FO:NIFTY02JUL2010500PE [LOCAL],02-07-2020 09:17,9c3612a6298d4c1498c3e35d31c7fd3c,SELL,50,47.7,INTRADAY,MARKET,02-07-2020 09:17,ce43d2bbb27a43ae9ce61be7b9ab4041,BUY,50,1.45,INTRADAY,MARKET,2312.5,4945.0,96.96,1.98,254945.0,0.0,0.0,02-07-2020
6,NSE_FO:NIFTY02JUL2010500CE [LOCAL],02-07-2020 09:17,a61e6b438488469cb8f9fb139e4bdc17,SELL,50,38.45,INTRADAY,MARKET,02-07-2020 09:17,09f9d75c1d0e4cbcbb0a09620b5a7ef0,BUY,50,48.4,INTRADAY,MARKET,-497.5,4447.5,-25.88,1.78,254447.5,-0.2,-497.5,02-07-2020
7,NSE_FO:NIFTY02JUL2010550CE [LOCAL],02-07-2020 11:44,ece32dcff75e4f1cb641456b880581f4,SELL,50,22.35,INTRADAY,MARKET,02-07-2020 11:44,eb1cda21b5884ae3bc7a62c5a4f8cb30,BUY,50,39.9,INTRADAY,MARKET,-877.5,3570.0,-78.52,1.43,253570.0,-0.54,-1375.0,02-07-2020
8,NSE_FO:NIFTY02JUL2010550PE [LOCAL],02-07-2020 12:10,a402258bab6e45b895a255474aa4aa01,SELL,50,31.8,INTRADAY,MARKET,02-07-2020 12:10,8382853c1925482c84f493408085f8da,BUY,50,1.65,INTRADAY,MARKET,1507.5,5077.5,94.81,2.03,255077.5,0.0,0.0,02-07-2020
9,NSE_FO:NIFTY02JUL2010600CE [LOCAL],02-07-2020 13:46,1d20a3d7a9a648c19779f4f8870fd879,SELL,50,13.7,INTRADAY,MARKET,02-07-2020 13:46,46f50e1b8897409b90341d7e754dbf93,BUY,50,0.15,INTRADAY,MARKET,677.5,5755.0,98.91,2.3,255755.0,0.0,0.0,02-07-2020
10,NSE_FO:NIFTY02JUL2010600PE [LOCAL],02-07-2020 14:15,20e1cc307f134ac0b122c684ceae43bb,SELL,50,24.35,INTRADAY,MARKET,02-07-2020 14:15,f0ecf6e3516f467c8a224b8c551a65e5,BUY,50,26.45,INTRADAY,MARKET,-105.0,5650.0,-8.62,2.26,255650.0,-0.04,-105.0,02-07-2020
11,NSE_FO:NIFTY09JUL2010600PE [LOCAL],03-07-2020 09:17,9ee922f49e5547a9b40e579700804fce,SELL,50,137.8,INTRADAY,MARKET,03-07-2020 09:17,56a56301e79c4e3aa62fba530ea7c444,BUY,50,127.75,INTRADAY,MARKET,502.5,6152.5,7.29,2.46,256152.5,0.0,0.0,03-07-2020
