,instrument_str,entry_timestamp,EN_ID,entry_transaction_type,entry_quantity,entry_price,EN_CODE,EN_VAR,exit_timestamp,EX_ID,exit_transaction_type,exit_quantity,exit_price,EX_CODE,EX_VAR,pnl_absolute,pnl_cumulative_absolute,pnl_percentage,pnl_cumulative_percentage,equity_curve,drawdown_percentage,Drawdown ?,Date
0,NSE_FO:BANKNIFTY02JUL2021300PE [LOCAL],01-07-2020 09:17,dea44c60c930403a983dc5ccc1f37c51,SELL,15,329.9,INTRADAY,MARKET,01-07-2020 09:17,0c058257c4be419caf374e756b727d71,BUY,15,38.0,INTRADAY,MARKET,4378.5,4378.5,88.48,1.75,254378.5,0.0,0.0,01-07-2020
1,NSE_FO:BANKNIFTY02JUL2021300CE [LOCAL],01-07-2020 09:17,53a7dc0e058843abac69de43e7f86990,SELL,15,313.25,INTRADAY,MARKET,01-07-2020 09:17,6386e980025b41f0be032ccd980d911b,BUY,15,430.4,INTRADAY,MARKET,-1757.25,2621.25,-37.4,1.05,252621.25,-0.69,-1757.25,01-07-2020
2,NSE_FO:BANKNIFTY02JUL2021600CE [LOCAL],01-07-2020 09:53,6765e6412c714e1b81c24e7a4990a316,SELL,15,264.25,INTRADAY,MARKET,01-07-2020 09:53,56513028ea97474fbc232de29c80d6fb,BUY,15,443.15,INTRADAY,MARKET,-2683.5,-62.25,-67.7,-0.02,249937.75,-1.75,-4440.75,01-07-2020
3,NSE_FO:BANKNIFTY02JUL2021800PE [LOCAL],01-07-2020 11:28,167d0e816e63495d9c6cc056d3b95356,SELL,15,334.4,INTRADAY,MARKET,01-07-2020 11:28,d83b2d0a50864441894fe043e4172acf,BUY,15,130.2,INTRADAY,MARKET,3063.0,3000.75,61.06,1.2,253000.75,-0.54,-1377.75,01-07-2020
4,NSE_FO:BANKNIFTY02JUL2022000CE [LOCAL],01-07-2020 13:30,7345dc7db9614bee891660aba1f4b028,SELL,15,205.3,INTRADAY,MARKET,01-07-2020 13:30,e495e6f327994b638fa57e6c1964ab4f,BUY,15,247.95,INTRADAY,MARKET,-639.75,2361.0,-20.77,0.94,252361.0,-0.79,-2017.5,01-07-2020
5,NSE_FO:BANKNIFTY02JUL2022200PE [LOCAL],02-07-2020 09:17,17d56d6ee9864225959f887b07a929f3,SELL,15,161.65,INTRADAY,MARKET,02-07-2020 09:17,686750581dc241488e5c470f7e70e479,BUY,15,260.0,INTRADAY,MARKET,-1475.25,885.75,-60.84,0.35,250885.75,-1.37,-3492.75,02-07-2020
6,NSE_FO:BANKNIFTY02JUL2022200CE [LOCAL],02-07-2020 09:17,820c7e31c2134a67869a6ef1f3234c86,SELL,15,185.2,INTRADAY,MARKET,02-07-2020 09:17,3233e69c7a2c4dbfb8b074e8cc4cfb4e,BUY,15,229.55,INTRADAY,MARKET,-665.25,220.5,-23.95,0.09,250220.5,-1.63,-4158.0,02-07-2020
7,NSE_FO:BANKNIFTY02JUL2022400CE [LOCAL],02-07-2020 09:44,6746d1dd2b8249ee91065849f949e4a8,SELL,15,121.8,INTRADAY,MARKET,02-07-2020 09:44,ae8f1cf0c85346dea889fe20d80e91a8,BUY,15,23.1,INTRADAY,MARKET,1480.5,1701.0,81.03,0.68,251701.0,-1.05,-2677.5,02-07-2020
8,NSE_FO:BANKNIFTY02JUL2022100CE [LOCAL],02-07-2020 10:19,aa6a79d61e2a4b3c858b0c3e680233a6,SELL,15,199.85,INTRADAY,MARKET,02-07-2020 10:19,15b529810f9e4d52ab40d5ab52650fe2,BUY,15,0.75,INTRADAY,MARKET,2986.5,4687.5,99.62,1.88,254687.5,0.0,0.0,02-07-2020
9,NSE_FO:BANKNIFTY02JUL2022000PE [LOCAL],02-07-2020 10:31,95f994e92b1d4ec38d48d73370245880,SELL,15,146.0,INTRADAY,MARKET,02-07-2020 10:31,837c41db5c624855be96af5396a7f1b1,BUY,15,11.3,INTRADAY,MARKET,2020.5,6708.0,92.26,2.68,256708.0,0.0,0.0,02-07-2020
