,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage,drawdown,Date
0,1375375,2900,NSE_FO:NIFTY02JUL2010250CE,2020-07-01 09:17:00,SELL,50,109.2,2020-07-01 10:01:00,BUY,50,141.95,-1637.5,-29.99,-1637.5,-0.96,169362.5,0.0,-1637.5,01-07-2020
1,1375368,2900,NSE_FO:NIFTY02JUL2010350PE,2020-07-01 09:17:00,SELL,50,125.0,2020-07-01 12:14:00,BUY,50,66.5,2925.0,46.8,1287.5,0.75,172287.5,0.0,0.0,01-07-2020
2,1375381,2900,NSE_FO:NIFTY02JUL2010350CE,2020-07-01 12:14:00,SELL,50,81.35,2020-07-01 12:46:00,BUY,50,105.75,-1220.0,-29.99,67.5,0.04,171067.5,-0.71,-1220.0,01-07-2020
3,1375378,2900,NSE_FO:NIFTY02JUL2010450PE,2020-07-01 12:14:00,SELL,50,121.0,2020-07-01 15:09:00,BUY,50,63.05,2897.5,47.89,2965.0,1.73,173965.0,0.0,0.0,01-07-2020
4,1375384,2900,NSE_FO:NIFTY02JUL2010450CE,2020-07-02 09:17:00,SELL,50,66.8,2020-07-02 09:44:00,BUY,50,86.8,-1000.0,-29.94,1965.0,1.15,172965.0,-0.57,-1000.0,02-07-2020
5,1375382,2900,NSE_FO:NIFTY02JUL2010550PE,2020-07-02 09:17:00,SELL,50,78.3,2020-07-02 13:51:00,BUY,50,9.0,3465.0,88.51,5430.0,3.18,176430.0,0.0,0.0,02-07-2020
6,1375391,2900,NSE_FO:NIFTY02JUL2010550CE,2020-07-02 13:51:00,SELL,50,45.55,2020-07-02 15:09:00,BUY,50,4.15,2070.0,90.89,6512.5,3.81,177512.5,0.0,0.0,02-07-2020
7,1375388,2900,NSE_FO:NIFTY02JUL2010650PE,2020-07-02 13:51:00,SELL,50,65.95,2020-07-02 14:33:00,BUY,50,85.7,-987.5,-29.95,4442.5,2.6,175442.5,-0.56,-2070.0,02-07-2020
8,1375398,2900,NSE_FO:NIFTY09JUL2010550CE,2020-07-03 09:17:00,SELL,50,145.0,2020-07-03 15:09:00,BUY,50,127.9,855.0,11.79,7807.5,4.57,178807.5,0.0,0.0,03-07-2020
9,1375395,2900,NSE_FO:NIFTY09JUL2010650PE,2020-07-03 09:17:00,SELL,50,163.95,2020-07-03 15:09:00,BUY,50,155.15,440.0,5.37,6952.5,4.07,177952.5,0.0,-855.0,03-07-2020
10,1375404,2900,NSE_FO:NIFTY09JUL2010650CE,2020-07-06 09:17:00,SELL,50,110.4,2020-07-06 11:30:00,BUY,50,143.5,-1655.0,-29.98,6152.5,3.6,177152.5,-0.93,-1655.0,06-07-2020
11,1375402,2900,NSE_FO:NIFTY09JUL2010750PE,2020-07-06 09:17:00,SELL,50,137.25,2020-07-06 12:48:00,BUY,50,87.55,2485.0,36.21,8637.5,5.05,179637.5,0.0,0.0,06-07-2020
12,1375409,2900,NSE_FO:NIFTY09JUL2010750CE,2020-07-06 12:48:00,SELL,50,109.5,2020-07-06 15:09:00,BUY,50,94.1,770.0,14.06,9042.5,5.29,180042.5,0.0,0.0,06-07-2020
13,1375407,2900,NSE_FO:NIFTY09JUL2010850PE,2020-07-06 12:48:00,SELL,50,138.85,2020-07-06 15:09:00,BUY,50,146.15,-365.0,-5.26,8272.5,4.84,179272.5,-0.2,-770.0,06-07-2020
14,1375412,2900,NSE_FO:NIFTY09JUL2010700CE,2020-07-07 09:17:00,SELL,50,109.45,2020-07-07 15:09:00,BUY,50,127.7,-912.5,-16.67,6272.5,3.67,177272.5,-1.54,-2770.0,07-07-2020
15,1375410,2900,NSE_FO:NIFTY09JUL2010800PE,2020-07-07 09:17:00,SELL,50,123.85,2020-07-07 11:39:00,BUY,50,161.0,-1857.5,-30.0,7185.0,4.2,178185.0,-1.03,-1857.5,07-07-2020
16,1375417,2900,NSE_FO:NIFTY09JUL2010750CE,2020-07-08 09:17:00,SELL,50,94.85,2020-07-08 14:45:00,BUY,50,48.1,2337.5,49.29,7032.5,4.11,178032.5,-1.12,-2010.0,08-07-2020
17,1375416,2900,NSE_FO:NIFTY09JUL2010850PE,2020-07-08 09:17:00,SELL,50,105.2,2020-07-08 14:45:00,BUY,50,136.75,-1577.5,-29.99,4695.0,2.75,175695.0,-2.41,-4347.5,08-07-2020
18,1375422,2900,NSE_FO:NIFTY09JUL2010700CE,2020-07-08 14:45:00,SELL,50,75.0,2020-07-08 15:09:00,BUY,50,69.1,295.0,7.87,7490.0,4.38,178490.0,-0.86,-1552.5,08-07-2020
19,1375421,2900,NSE_FO:NIFTY09JUL2010800PE,2020-07-08 14:45:00,SELL,50,101.15,2020-07-08 15:09:00,BUY,50,97.9,162.5,3.21,7195.0,4.21,178195.0,-1.03,-1847.5,08-07-2020
20,1375424,2900,NSE_FO:NIFTY09JUL2010700CE,2020-07-09 09:17:00,SELL,50,60.5,2020-07-09 10:10:00,BUY,50,78.65,-907.5,-30.0,6582.5,3.85,177582.5,-1.37,-2460.0,09-07-2020
21,1375423,2900,NSE_FO:NIFTY09JUL2010800PE,2020-07-09 09:17:00,SELL,50,83.05,2020-07-09 15:09:00,BUY,50,2.75,4015.0,96.69,10597.5,6.2,181597.5,0.0,0.0,09-07-2020
22,1375429,2900,NSE_FO:NIFTY16JUL2010700CE,2020-07-10 09:17:00,SELL,50,163.95,2020-07-10 15:09:00,BUY,50,148.15,790.0,9.64,12007.5,7.02,183007.5,0.0,0.0,10-07-2020
23,1375428,2900,NSE_FO:NIFTY16JUL2010800PE,2020-07-10 09:17:00,SELL,50,135.1,2020-07-10 15:09:00,BUY,50,122.7,620.0,9.18,11217.5,6.56,182217.5,0.0,-790.0,10-07-2020
24,1375440,2900,NSE_FO:NIFTY16JUL2010800CE,2020-07-13 09:17:00,SELL,50,116.0,2020-07-13 13:32:00,BUY,50,87.05,1447.5,24.96,11552.5,6.76,182552.5,-0.25,-455.0,13-07-2020
25,1375438,2900,NSE_FO:NIFTY16JUL2010900PE,2020-07-13 09:17:00,SELL,50,126.9,2020-07-13 13:32:00,BUY,50,164.95,-1902.5,-29.98,10105.0,5.91,181105.0,-1.04,-1902.5,13-07-2020
26,1375444,2900,NSE_FO:NIFTY16JUL2010750CE,2020-07-13 13:32:00,SELL,50,113.2,2020-07-13 15:09:00,BUY,50,121.35,-407.5,-7.2,12397.5,7.25,183397.5,-0.22,0.0,13-07-2020
27,1375441,2900,NSE_FO:NIFTY16JUL2010850PE,2020-07-13 13:32:00,SELL,50,134.0,2020-07-13 15:09:00,BUY,50,108.95,1252.5,18.69,12805.0,7.49,183805.0,0.0,0.0,13-07-2020
28,1375446,2900,NSE_FO:NIFTY16JUL2010700CE,2020-07-14 09:17:00,SELL,50,98.15,2020-07-14 10:56:00,BUY,50,63.2,1747.5,35.61,12352.5,7.22,183352.5,-0.25,-452.5,14-07-2020
29,1375445,2900,NSE_FO:NIFTY16JUL2010800PE,2020-07-14 09:17:00,SELL,50,119.6,2020-07-14 10:33:00,BUY,50,155.45,-1792.5,-29.97,10605.0,6.2,181605.0,-1.2,-2200.0,14-07-2020
30,1375451,2900,NSE_FO:NIFTY16JUL2010600CE,2020-07-14 10:56:00,SELL,50,112.15,2020-07-14 13:14:00,BUY,50,72.85,1965.0,35.04,12622.5,7.38,183622.5,-0.1,-182.5,14-07-2020
31,1375450,2900,NSE_FO:NIFTY16JUL2010700PE,2020-07-14 10:56:00,SELL,50,113.0,2020-07-14 12:53:00,BUY,50,146.9,-1695.0,-30.0,10657.5,6.23,181657.5,-1.17,-2147.5,14-07-2020
32,1375459,2900,NSE_FO:NIFTY16JUL2010500CE,2020-07-14 13:14:00,SELL,50,126.3,2020-07-14 13:54:00,BUY,50,164.15,-1892.5,-29.97,10730.0,6.27,181730.0,-1.13,-2075.0,14-07-2020
33,1375455,2900,NSE_FO:NIFTY16JUL2010600PE,2020-07-14 13:14:00,SELL,50,106.7,2020-07-14 14:16:00,BUY,50,61.35,2267.5,42.5,12997.5,7.6,183997.5,0.0,0.0,14-07-2020
34,1375461,2900,NSE_FO:NIFTY16JUL2010600CE,2020-07-14 14:16:00,SELL,50,103.55,2020-07-14 15:09:00,BUY,50,88.25,765.0,14.78,12942.5,7.57,183942.5,-0.03,-55.0,14-07-2020
35,1375460,2900,NSE_FO:NIFTY16JUL2010700PE,2020-07-14 14:16:00,SELL,50,114.6,2020-07-14 15:09:00,BUY,50,131.0,-820.0,-14.31,12177.5,7.12,183177.5,-0.45,-820.0,14-07-2020
36,1375463,2900,NSE_FO:NIFTY16JUL2010650CE,2020-07-15 09:17:00,SELL,50,87.85,2020-07-15 09:55:00,BUY,50,114.2,-1317.5,-29.99,11625.0,6.8,182625.0,-0.75,-1372.5,15-07-2020
37,1375462,2900,NSE_FO:NIFTY16JUL2010750PE,2020-07-15 09:17:00,SELL,50,109.4,2020-07-15 10:24:00,BUY,50,60.65,2437.5,44.56,14062.5,8.22,185062.5,0.0,0.0,15-07-2020
38,1375467,2900,NSE_FO:NIFTY16JUL2010750CE,2020-07-15 10:24:00,SELL,50,71.0,2020-07-15 11:16:00,BUY,50,92.3,-1065.0,-30.0,12997.5,7.6,183997.5,-0.58,-1065.0,15-07-2020
39,1375466,2900,NSE_FO:NIFTY16JUL2010850PE,2020-07-15 10:24:00,SELL,50,121.4,2020-07-15 14:37:00,BUY,50,155.9,-1725.0,-28.42,11272.5,6.59,182272.5,-1.51,-2790.0,15-07-2020
40,1375470,2900,NSE_FO:NIFTY16JUL2010650CE,2020-07-15 14:37:00,SELL,50,88.75,2020-07-15 15:09:00,BUY,50,49.8,1947.5,43.89,12032.5,7.04,183032.5,-1.1,-2030.0,15-07-2020
41,1375469,2900,NSE_FO:NIFTY16JUL2010750PE,2020-07-15 14:37:00,SELL,50,79.25,2020-07-15 14:39:00,BUY,50,103.0,-1187.5,-29.97,10085.0,5.9,181085.0,-2.15,-3977.5,15-07-2020
42,1375472,2900,NSE_FO:NIFTY16JUL2010600CE,2020-07-16 09:17:00,SELL,50,47.25,2020-07-16 09:46:00,BUY,50,61.4,-707.5,-29.95,11325.0,6.62,182325.0,-1.48,-2737.5,16-07-2020
43,1375471,2900,NSE_FO:NIFTY16JUL2010700PE,2020-07-16 09:17:00,SELL,50,105.3,2020-07-16 14:50:00,BUY,50,15.35,4497.5,85.42,15822.5,9.25,186822.5,0.0,0.0,16-07-2020
44,1375476,2900,NSE_FO:NIFTY16JUL2010650CE,2020-07-16 14:50:00,SELL,50,46.15,2020-07-16 15:00:00,BUY,50,59.95,-690.0,-29.9,15132.5,8.85,186132.5,-0.37,-690.0,16-07-2020
45,1375475,2900,NSE_FO:NIFTY16JUL2010750PE,2020-07-16 14:50:00,SELL,50,56.0,2020-07-16 15:09:00,BUY,50,15.65,2017.5,72.05,17150.0,10.03,188150.0,0.0,0.0,16-07-2020
46,1375483,2900,NSE_FO:NIFTY23JUL2010750CE,2020-07-17 09:17:00,SELL,50,126.65,2020-07-17 14:10:00,BUY,50,164.6,-1897.5,-29.96,15252.5,8.92,186252.5,-1.01,-1897.5,17-07-2020
47,1375479,2900,NSE_FO:NIFTY23JUL2010850PE,2020-07-17 09:17:00,SELL,50,157.5,2020-07-17 14:47:00,BUY,50,99.75,2887.5,36.67,18140.0,10.61,189140.0,0.0,0.0,17-07-2020
48,1375489,2900,NSE_FO:NIFTY23JUL2010800CE,2020-07-17 14:47:00,SELL,50,142.5,2020-07-17 15:09:00,BUY,50,147.75,-262.5,-3.68,17990.0,10.52,188990.0,-0.14,-150.0,17-07-2020
49,1375487,2900,NSE_FO:NIFTY23JUL2010900PE,2020-07-17 14:47:00,SELL,50,123.25,2020-07-17 15:09:00,BUY,50,121.0,112.5,1.83,18252.5,10.67,189252.5,0.0,0.0,17-07-2020
50,1375497,2900,NSE_FO:NIFTY23JUL2010950CE,2020-07-20 09:17:00,SELL,50,102.3,2020-07-20 14:14:00,BUY,50,132.95,-1532.5,-29.96,16457.5,9.62,187457.5,-0.95,-1795.0,20-07-2020
51,1375491,2900,NSE_FO:NIFTY23JUL2011050PE,2020-07-20 09:17:00,SELL,50,158.45,2020-07-20 15:09:00,BUY,50,117.45,2050.0,25.88,18507.5,10.82,189507.5,0.0,0.0,20-07-2020
52,1375511,2900,NSE_FO:NIFTY23JUL2011100CE,2020-07-21 09:17:00,SELL,50,82.3,2020-07-21 13:05:00,BUY,50,106.95,-1232.5,-29.95,17275.0,10.1,188275.0,-0.65,-1232.5,21-07-2020
53,1375508,2900,NSE_FO:NIFTY23JUL2011200PE,2020-07-21 09:17:00,SELL,50,143.5,2020-07-21 15:09:00,BUY,50,86.0,2875.0,40.07,20150.0,11.78,191150.0,0.0,0.0,21-07-2020
54,1375516,2900,NSE_FO:NIFTY23JUL2011100CE,2020-07-22 09:17:00,SELL,50,97.0,2020-07-22 14:40:00,BUY,50,38.1,2945.0,60.72,21612.5,12.64,192612.5,0.0,0.0,22-07-2020
55,1375515,2900,NSE_FO:NIFTY23JUL2011200PE,2020-07-22 09:17:00,SELL,50,98.9,2020-07-22 09:36:00,BUY,50,128.55,-1482.5,-29.98,18667.5,10.92,189667.5,-0.78,-2945.0,22-07-2020
56,1375523,2900,NSE_FO:NIFTY23JUL2011050CE,2020-07-22 14:40:00,SELL,50,62.55,2020-07-22 15:03:00,BUY,50,81.3,-937.5,-29.98,20675.0,12.09,191675.0,-0.49,-937.5,22-07-2020
57,1375520,2900,NSE_FO:NIFTY23JUL2011150PE,2020-07-22 14:40:00,SELL,50,113.1,2020-07-22 15:09:00,BUY,50,73.35,1987.5,35.15,22662.5,13.25,193662.5,0.0,0.0,22-07-2020
