,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage,drawdown,Date
0,1525968,5182,NSE_FO:BANKNIFTY02JUL2021300CE,2020-07-01 09:17:00,SELL,15,313.25,2020-07-01 09:31:00,BUY,15,375.9,-939.75,-20.0,-939.75,-0.62,150060.25,0.0,01-07-2020,0.0
1,1525967,5182,NSE_FO:BANKNIFTY02JUL2021300PE,2020-07-01 09:17:00,SELL,15,329.9,2020-07-01 09:32:00,BUY,15,253.95,1139.25,23.02,199.5,0.13,151199.5,0.0,01-07-2020,0.0
2,1525970,5182,NSE_FO:BANKNIFTY02JUL2021500CE,2020-07-01 09:32:00,SELL,15,281.0,2020-07-01 10:01:00,BUY,15,337.2,-843.0,-20.0,-643.5,-0.43,150356.5,-0.56,01-07-2020,-843.0
3,1525969,5182,NSE_FO:BANKNIFTY02JUL2021500PE,2020-07-01 09:32:00,SELL,15,346.5,2020-07-01 11:28:00,BUY,15,203.35,2147.25,41.31,1503.75,1.0,152503.75,0.0,01-07-2020,0.0
4,1525972,5182,NSE_FO:BANKNIFTY02JUL2021700CE,2020-07-01 11:28:00,SELL,15,282.15,2020-07-01 12:52:00,BUY,15,338.55,-846.0,-19.99,657.75,0.44,151657.75,-0.55,01-07-2020,-846.0
5,1525971,5182,NSE_FO:BANKNIFTY02JUL2021700PE,2020-07-01 11:28:00,SELL,15,282.0,2020-07-01 12:59:00,BUY,15,207.6,1116.0,26.38,1773.75,1.17,152773.75,0.0,01-07-2020,0.0
6,1525974,5182,NSE_FO:BANKNIFTY02JUL2021900CE,2020-07-01 12:59:00,SELL,15,236.6,2020-07-01 14:59:00,BUY,15,283.9,-709.5,-19.99,1064.25,0.7,152064.25,-0.46,01-07-2020,-709.5
7,1525973,5182,NSE_FO:BANKNIFTY02JUL2021900PE,2020-07-01 12:59:00,SELL,15,299.6,2020-07-01 15:05:00,BUY,15,178.65,1814.25,40.37,2878.5,1.91,153878.5,0.0,01-07-2020,0.0
8,1525976,5182,NSE_FO:BANKNIFTY02JUL2022200CE,2020-07-02 09:17:00,SELL,15,185.2,2020-07-02 09:44:00,BUY,15,222.2,-555.0,-19.98,2323.5,1.54,153323.5,-0.36,02-07-2020,-555.0
9,1525975,5182,NSE_FO:BANKNIFTY02JUL2022200PE,2020-07-02 09:17:00,SELL,15,161.65,2020-07-02 10:19:00,BUY,15,193.95,-484.5,-19.98,1839.0,1.22,152839.0,-0.68,02-07-2020,-1039.5
10,1525978,5182,NSE_FO:BANKNIFTY02JUL2022100CE,2020-07-02 10:19:00,SELL,15,199.85,2020-07-02 10:39:00,BUY,15,125.55,1114.5,37.18,2492.25,1.65,153492.25,-0.25,02-07-2020,-386.25
11,1525977,5182,NSE_FO:BANKNIFTY02JUL2022100PE,2020-07-02 10:19:00,SELL,15,153.9,2020-07-02 10:22:00,BUY,15,184.65,-461.25,-19.98,1377.75,0.91,152377.75,-0.98,02-07-2020,-1500.75
12,1525980,5182,NSE_FO:BANKNIFTY02JUL2022000CE,2020-07-02 10:39:00,SELL,15,172.35,2020-07-02 10:48:00,BUY,15,206.8,-516.75,-19.99,1975.5,1.31,152975.5,-0.59,02-07-2020,-903.0
13,1525979,5182,NSE_FO:BANKNIFTY02JUL2022000PE,2020-07-02 10:39:00,SELL,15,153.7,2020-07-02 11:12:00,BUY,15,184.4,-460.5,-19.97,1515.0,1.0,152515.0,-0.89,02-07-2020,-1363.5
