,instrument_str,entry_timestamp,EN_ID,entry_transaction_type,entry_quantity,entry_price,EN_CODE,EN_VAR,exit_timestamp,EX_ID,exit_transaction_type,exit_quantity,exit_price,EX_CODE,EX_VAR,pnl_absolute,pnl_cumulative_absolute,pnl_percentage,pnl_cumulative_percentage,equity_curve,drawdown_percentage,Drawdown ?,Date
0,NSE_FO:BANKNIFTY02JUL2021600CE [LOCAL],01-07-2020 09:25,49b34bbe1cec47fdbcd8d3dfd3cad879,SELL,30,171.5,INTRADAY,MARKET,01-07-2020 09:25,d8132ba92c3740ffae572c615ba98c0b,BUY,30,304.83,INTRADAY,MARKET,-4000.0,-4000.0,-77.75,-2.34,167000.0,-2.34,-4000.0,01-07-2020
1,NSE_FO:BANKNIFTY02JUL2021000PE [LOCAL],01-07-2020 09:25,7cddc09ef2e347b39e8af2dc560aa296,SELL,30,203.8,INTRADAY,MARKET,01-07-2020 09:25,4a9fad1bcfc94dbfb833eeab24992c8c,BUY,30,203.8,INTRADAY,MARKET,0.0,-4000.0,0.0,-2.34,167000.0,-2.34,-4000.0,01-07-2020
2,NSE_FO:BANKNIFTY02JUL2022500CE [LOCAL],02-07-2020 09:25,6f98a7bf4fae448a82be00fae09163de,SELL,30,62.7,INTRADAY,MARKET,02-07-2020 09:25,8827758a70d84567bb512dca50c7cbfb,BUY,30,30.85,INTRADAY,MARKET,955.5,-3044.5,50.8,-1.78,167955.5,-1.78,-3044.5,02-07-2020
3,NSE_FO:BANKNIFTY02JUL2021900PE [LOCAL],02-07-2020 09:25,975b12072d784ae0b530a8b409070af7,SELL,30,52.7,INTRADAY,MARKET,02-07-2020 09:25,30e48fdd523a4bf683f90eb4de3a9455,BUY,30,38.55,INTRADAY,MARKET,424.5,-2620.0,26.85,-1.53,168380.0,-1.53,-2620.0,02-07-2020
4,NSE_FO:BANKNIFTY02JUL2022400CE [LOCAL],02-07-2020 12:10,90cb2f2bf6e14f2aaa57a987bc2bab7d,SELL,30,49.45,INTRADAY,MARKET,02-07-2020 12:10,c90423b7b0824252b1d228399b6cd4fe,BUY,30,21.35,INTRADAY,MARKET,843.0,-1777.0,56.83,-1.04,169223.0,-1.04,-1777.0,02-07-2020
5,NSE_FO:BANKNIFTY02JUL2021800PE [LOCAL],02-07-2020 12:10,87f2e2d2bf944832b85ce212769ab10b,SELL,30,23.15,INTRADAY,MARKET,02-07-2020 12:10,07c79699dd394bf9a9f7b0fa9c6a0ae1,BUY,30,22.3,INTRADAY,MARKET,25.5,-1751.5,3.67,-1.02,169248.5,-1.02,-1751.5,02-07-2020
6,NSE_FO:BANKNIFTY02JUL2022400CE [LOCAL],02-07-2020 13:39,f8254d4630784664b07bc31d5e1d4dd1,SELL,30,21.35,INTRADAY,MARKET,02-07-2020 13:39,147ec4ad5b5b4a8fab85c7d8774c2912,BUY,30,21.65,INTRADAY,MARKET,-9.0,-1760.5,-1.41,-1.03,169239.5,-1.03,-1760.5,02-07-2020
7,NSE_FO:BANKNIFTY02JUL2021800PE [LOCAL],02-07-2020 13:39,036087e7bca544be8408f2399d49162c,SELL,30,22.3,INTRADAY,MARKET,02-07-2020 13:39,624207ba2e8a48fb9893e29fa42fadb7,BUY,30,4.6,INTRADAY,MARKET,531.0,-1229.5,79.37,-0.72,169770.5,-0.72,-1229.5,02-07-2020
8,NSE_FO:BANKNIFTY02JUL2022500CE [LOCAL],02-07-2020 14:04,566bf1345e8b46e191c688d19a7cc6e2,SELL,30,11.65,INTRADAY,MARKET,02-07-2020 14:04,625867c36ec34e448f71454bc113ddfe,BUY,30,4.6,INTRADAY,MARKET,211.5,-1018.0,60.52,-0.6,169982.0,-0.6,-1018.0,02-07-2020
9,NSE_FO:BANKNIFTY02JUL2021900PE [LOCAL],02-07-2020 14:04,c539520e200547b1b4445d2271555ec2,SELL,30,8.3,INTRADAY,MARKET,02-07-2020 14:04,7929d20bcc514232a8bd80c3dc822ca6,BUY,30,6.25,INTRADAY,MARKET,61.5,-956.5,24.7,-0.56,170043.5,-0.56,-956.5,02-07-2020
10,NSE_FO:BANKNIFTY02JUL2022500CE [LOCAL],02-07-2020 14:25,347be2b02c4a47cb980b609e13d4eab2,SELL,30,4.6,INTRADAY,MARKET,02-07-2020 14:25,9274884218624c2aa52a5f66c94479ef,BUY,30,2.05,INTRADAY,MARKET,76.5,-880.0,55.43,-0.51,170120.0,-0.51,-880.0,02-07-2020
11,NSE_FO:BANKNIFTY02JUL2021900PE [LOCAL],02-07-2020 14:25,fa2cde7dade143e6bc6746cbdf4c3c48,SELL,30,6.25,INTRADAY,MARKET,02-07-2020 14:25,aff415edb2e24f59a4eb631561077752,BUY,30,14.1,INTRADAY,MARKET,-235.5,-1115.5,-125.6,-0.65,169884.5,-0.65,-1115.5,02-07-2020
12,NSE_FO:BANKNIFTY02JUL2022400CE [LOCAL],02-07-2020 14:33,296445e0d3db4f8cb8efc60b27872936,SELL,30,4.05,INTRADAY,MARKET,02-07-2020 14:33,2703ed4fc76343439eba84fae8197110,BUY,30,1.95,INTRADAY,MARKET,63.0,-1052.5,51.85,-0.62,169947.5,-0.62,-1052.5,02-07-2020
13,NSE_FO:BANKNIFTY02JUL2021800PE [LOCAL],02-07-2020 14:33,45181abd82684eec859170145fc72a7e,SELL,30,7.4,INTRADAY,MARKET,02-07-2020 14:33,0c24cd03c2c74901bd20af5a5da74637,BUY,30,3.8,INTRADAY,MARKET,108.0,-944.5,48.65,-0.55,170055.5,-0.55,-944.5,02-07-2020
