,instrument_str,entry_timestamp,EN_ID,entry_transaction_type,entry_quantity,entry_price,EN_CODE,EN_VAR,exit_timestamp,EX_ID,exit_transaction_type,exit_quantity,exit_price,EX_CODE,EX_VAR,pnl_absolute,pnl_cumulative_absolute,pnl_percentage,pnl_cumulative_percentage,equity_curve,drawdown_percentage,Drawdown ?,Date
0,NSE_FO:BANKNIFTY02JUL2021600CE [LOCAL],01-07-2020 09:17,aac6095ad4d54435afa4f435be00a042,SELL,15,187.9,INTRADAY,MARKET,01-07-2020 09:17,b10ddbe4da6843a9b313179c4f7534b7,BUY,15,225.45,INTRADAY,STOPLOSS_LIMIT,-563.25,-563.25,-19.98,-0.37,150436.75,-0.37,01-07-2020,-563.25
1,NSE_FO:BANKNIFTY02JUL2021000PE [LOCAL],01-07-2020 09:17,50a079f395d74eff8c6b614b9debb5ca,SELL,15,200.8,INTRADAY,MARKET,01-07-2020 09:17,8b00e67bb0e14244b6e338f9db09cc98,BUY,15,149.05,INTRADAY,MARKET,776.25,213.0,25.77,0.14,151213.0,0.0,01-07-2020,0.0
2,NSE_FO:BANKNIFTY02JUL2021800CE [LOCAL],01-07-2020 09:32,9151d1171c3e45f0b23a52c984426cd3,SELL,15,161.7,INTRADAY,MARKET,01-07-2020 09:32,27780ed15a6e4de4a77fd40d0cfa55ea,BUY,15,194.0,INTRADAY,STOPLOSS_LIMIT,-484.5,-271.5,-19.98,-0.18,150728.5,-0.32,01-07-2020,-484.5
3,NSE_FO:BANKNIFTY02JUL2021200PE [LOCAL],01-07-2020 09:32,7e6b4d63c5254f37ba09672c53f80c6a,SELL,15,214.3,INTRADAY,MARKET,01-07-2020 09:32,9041d66da0a54c65a42474fb2557e31e,BUY,15,114.6,INTRADAY,MARKET,1495.5,1224.0,46.52,0.81,152224.0,0.0,01-07-2020,0.0
4,NSE_FO:BANKNIFTY02JUL2022000CE [LOCAL],01-07-2020 11:28,86dadc919d024c2f880e157607d34dbe,SELL,15,154.55,INTRADAY,MARKET,01-07-2020 11:28,3ae86f6f5b9140c3be0f9aa65d1b6f5b,BUY,15,185.45,INTRADAY,STOPLOSS_LIMIT,-463.5,760.5,-19.99,0.5,151760.5,-0.3,01-07-2020,-463.5
5,NSE_FO:BANKNIFTY02JUL2021400PE [LOCAL],01-07-2020 11:28,e67530440f2a4604baa8b47bbd060f2e,SELL,15,167.8,INTRADAY,MARKET,01-07-2020 11:28,4ee7df785b73472a9043446c24257620,BUY,15,116.25,INTRADAY,MARKET,773.25,1533.75,30.72,1.02,152533.75,0.0,01-07-2020,0.0
6,NSE_FO:BANKNIFTY02JUL2022200CE [LOCAL],01-07-2020 12:59,9889481a48454de4ae8d0c5242191148,SELL,15,120.0,INTRADAY,MARKET,01-07-2020 12:59,f799db9cb5d14138ab4604231636c2db,BUY,15,144.0,INTRADAY,STOPLOSS_LIMIT,-360.0,1173.75,-20.0,0.78,152173.75,-0.24,01-07-2020,-360.0
7,NSE_FO:BANKNIFTY02JUL2021600PE [LOCAL],01-07-2020 12:59,2c7e697dff574cf3bf8d5bdfb82bb70e,SELL,15,171.85,INTRADAY,MARKET,01-07-2020 12:59,e6bd43ec826f4a4caf91d6c1f15c96dd,BUY,15,206.2,INTRADAY,STOPLOSS_LIMIT,-515.25,658.5,-19.99,0.44,151658.5,-0.57,01-07-2020,-875.25
8,NSE_FO:BANKNIFTY02JUL2022500CE [LOCAL],02-07-2020 09:17,72c4be37f5d546a69cb16876bd486fe0,SELL,15,65.0,INTRADAY,MARKET,02-07-2020 09:17,8d0f4fc06df5413a92d164c7065036bc,BUY,15,78.0,INTRADAY,STOPLOSS_LIMIT,-195.0,463.5,-20.0,0.31,151463.5,-0.7,02-07-2020,-1070.25
9,NSE_FO:BANKNIFTY02JUL2021900PE [LOCAL],02-07-2020 09:17,737557ee239748448b2395e3347dceed,SELL,15,58.35,INTRADAY,MARKET,02-07-2020 09:17,583f88b6cb76433aaa3b4f9665a6197f,BUY,15,70.0,INTRADAY,STOPLOSS_LIMIT,-174.75,288.75,-19.97,0.19,151288.75,-0.82,02-07-2020,-1245.0
10,NSE_FO:BANKNIFTY02JUL2021800PE [LOCAL],02-07-2020 10:19,47889c889f5c4916853b2c98b5113f2e,SELL,15,54.4,INTRADAY,MARKET,02-07-2020 10:19,5c0028837fe54b7f85dadbb06a849e1d,BUY,15,65.25,INTRADAY,STOPLOSS_LIMIT,-162.75,126.0,-19.94,0.08,151126.0,-0.92,02-07-2020,-1407.75
11,NSE_FO:BANKNIFTY02JUL2022400CE [LOCAL],02-07-2020 10:19,5f2a723bada54d44a3aae8388f1f92f4,SELL,15,78.05,INTRADAY,MARKET,02-07-2020 10:19,75fa59eca83a47edbe594dc5ed4fae70,BUY,15,40.6,INTRADAY,MARKET,561.75,687.75,47.98,0.46,151687.75,-0.55,02-07-2020,-846.0
12,NSE_FO:BANKNIFTY02JUL2022300CE [LOCAL],02-07-2020 10:39,9a154f1e4ee449d1871c35e9998c2ca3,SELL,15,61.95,INTRADAY,MARKET,02-07-2020 10:39,9e1d2e2db2554687b65340220899b7ec,BUY,15,74.3,INTRADAY,STOPLOSS_LIMIT,-185.25,502.5,-19.94,0.33,151502.5,-0.68,02-07-2020,-1031.25
13,NSE_FO:BANKNIFTY02JUL2021700PE [LOCAL],02-07-2020 10:39,33c07896dfa0442f9ea2f2ef2ad84fcb,SELL,15,51.75,INTRADAY,MARKET,02-07-2020 10:39,398fa923f4e14af18a33f94d61168613,BUY,15,62.05,INTRADAY,STOPLOSS_LIMIT,-154.5,348.0,-19.9,0.23,151348.0,-0.78,02-07-2020,-1185.75
14,NSE_FO:BANKNIFTY02JUL2022200CE [LOCAL],02-07-2020 11:11,56a361efe4a241ce86617c2f8c741ca0,SELL,15,62.95,INTRADAY,MARKET,02-07-2020 11:11,feef702071164def9d002951f4f091bd,BUY,15,75.5,INTRADAY,STOPLOSS_LIMIT,-188.25,159.75,-19.94,0.11,151159.75,-0.9,02-07-2020,-1374.0
15,NSE_FO:BANKNIFTY02JUL2021600PE [LOCAL],02-07-2020 11:11,ae3942a551814a8ea4100c60f724e0ab,SELL,15,37.15,INTRADAY,MARKET,02-07-2020 11:11,20462e34f22d4316a9dbb045effda9ac,BUY,15,12.5,INTRADAY,MARKET,369.75,529.5,66.35,0.35,151529.5,-0.66,02-07-2020,-1004.25
16,NSE_FO:BANKNIFTY09JUL2021800PE [LOCAL],03-07-2020 09:17,5c6c08f0f06442b4917cbf238bf47653,SELL,15,365.0,INTRADAY,MARKET,03-07-2020 09:17,7a3e407c6aeb45dc8fb4e8adf5e9d294,BUY,15,420.75,INTRADAY,MARKET,-836.25,-306.75,-15.27,-0.2,150693.25,-1.21,03-07-2020,-1840.5
17,NSE_FO:BANKNIFTY09JUL2022400CE [LOCAL],03-07-2020 09:17,1c551afa8b0a42c2a293f2125ed872ea,SELL,15,344.0,INTRADAY,MARKET,03-07-2020 09:17,57743379230c4b3987ba18b0e4aa93c7,BUY,15,277.5,INTRADAY,MARKET,997.5,690.75,19.33,0.46,151690.75,-0.55,03-07-2020,-843.0
18,NSE_FO:BANKNIFTY09JUL2021600PE [LOCAL],03-07-2020 09:37,65144135f88c4b6c92c40034b71b5dfc,SELL,15,336.1,INTRADAY,MARKET,03-07-2020 09:37,80fbcbad437843d8b0e349f7e9e2bd42,BUY,15,302.35,INTRADAY,MARKET,506.25,1197.0,10.04,0.79,152197.0,-0.22,03-07-2020,-336.75
19,NSE_FO:BANKNIFTY09JUL2022200CE [LOCAL],03-07-2020 09:37,ab4923bf730e431c8a6e90fce2932b88,SELL,15,352.15,INTRADAY,MARKET,03-07-2020 09:37,cb68529adcd94f8887cc99499b35127e,BUY,15,274.4,INTRADAY,MARKET,1166.25,2363.25,22.08,1.57,153363.25,0.0,03-07-2020,0.0
20,NSE_FO:BANKNIFTY09JUL2021900PE [LOCAL],06-07-2020 09:17,16fa390ce4aa45a88dab57b58a9c3b0f,SELL,15,225.95,INTRADAY,MARKET,06-07-2020 09:17,20fbba3a3a7b4ee5ab49641214fab7d3,BUY,15,198.3,INTRADAY,MARKET,414.75,2778.0,12.24,1.84,153778.0,0.0,06-07-2020,0.0
21,NSE_FO:BANKNIFTY09JUL2022500CE [LOCAL],06-07-2020 09:17,ea5e158ab23046359cd6f0c6cf2a5875,SELL,15,253.4,INTRADAY,MARKET,06-07-2020 09:17,61893520236d4c039ad6b3f275832084,BUY,15,208.35,INTRADAY,MARKET,675.75,3453.75,17.78,2.29,154453.75,0.0,06-07-2020,0.0
