,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
0,1696280,2326,NSE_FO:NIFTY24JUL24700PE,22-07-2024 12:50,1,25,335.5,22-07-2024 15:10,0,25,325.5,250.0,2.98,261580.0,138.4,450580.0,-4.15
1,1696279,2326,NSE_FO:NIFTY24JUL24650PE,22-07-2024 09:30,1,25,335.1,22-07-2024 12:27,0,25,301.55,838.75,10.01,261330.0,138.27,450330.0,-4.2
2,1695782,2326,NSE_FO:NIFTY24JUL24450CE,19-07-2024 11:40,1,25,342.1,19-07-2024 15:10,0,25,265.8,1907.5,22.3,260491.25,137.83,449491.25,-4.38
3,1695780,2326,NSE_FO:NIFTY24JUL24900PE,19-07-2024 10:25,1,25,325.5,19-07-2024 11:01,0,25,375.15,-1241.25,-15.25,258583.75,136.82,447583.75,-4.78
4,1695776,2326,NSE_FO:NIFTY24JUL24950PE,19-07-2024 09:30,1,25,314.6,19-07-2024 10:08,0,25,365.75,-1278.75,-16.26,259825.0,137.47,448825.0,-4.52
5,1695210,2326,NSE_FO:NIFTY2471824600CE,18-07-2024 15:00,1,25,207.55,18-07-2024 15:10,0,25,200.55,175.0,3.37,261103.75,138.15,450103.75,-4.25
6,1695209,2326,NSE_FO:NIFTY2471824600CE,18-07-2024 14:10,1,25,202.0,18-07-2024 14:14,0,25,242.7,-1017.5,-20.15,260928.75,138.06,449928.75,-4.28
7,1695208,2326,NSE_FO:NIFTY2471824500CE,18-07-2024 13:20,1,25,223.25,18-07-2024 13:21,0,25,254.9,-791.25,-14.18,261946.25,138.6,450946.25,-4.07
8,1695207,2326,NSE_FO:NIFTY2471824750PE,18-07-2024 11:40,1,25,220.65,18-07-2024 13:11,0,25,91.4,3231.25,58.58,262737.5,139.01,451737.5,-3.9
9,1695206,2326,NSE_FO:NIFTY2471824850PE,18-07-2024 10:45,1,25,191.65,18-07-2024 10:50,0,25,221.95,-757.5,-15.81,259506.25,137.3,448506.25,-4.59
10,1694437,2326,NSE_FO:NIFTY2471824450CE,16-07-2024 10:50,1,25,247.9,16-07-2024 15:06,0,25,223.1,620.0,10.0,260263.75,137.71,449263.75,-4.43
11,1694432,2326,NSE_FO:NIFTY2471824400CE,16-07-2024 09:30,1,25,247.25,16-07-2024 10:41,0,25,296.25,-1225.0,-19.82,259643.75,137.38,448643.75,-4.56
12,1693973,2326,NSE_FO:NIFTY2471824400CE,15-07-2024 12:00,1,25,240.35,15-07-2024 15:10,0,25,245.5,-128.75,-2.14,260868.75,138.03,449868.75,-4.3
13,1693972,2326,NSE_FO:NIFTY2471824750PE,15-07-2024 10:10,1,25,220.25,15-07-2024 11:57,0,25,198.2,551.25,10.01,260997.5,138.09,449997.5,-4.27
14,1693474,2326,NSE_FO:NIFTY2471824700PE,12-07-2024 12:40,1,25,227.35,12-07-2024 14:59,0,25,204.6,568.75,10.01,260446.25,137.8,449446.25,-4.39
15,1693025,2326,NSE_FO:NIFTY2471124100CE,11-07-2024 15:05,1,25,203.05,11-07-2024 15:10,0,25,209.7,-166.25,-3.28,259877.5,137.5,448877.5,-4.51
16,1692967,2326,NSE_FO:NIFTY2471124550PE,11-07-2024 15:00,1,25,209.6,11-07-2024 15:04,0,25,246.0,-910.0,-17.37,260043.75,137.59,449043.75,-4.47
17,1692965,2326,NSE_FO:NIFTY2471124450PE,11-07-2024 12:10,1,25,236.0,11-07-2024 15:00,0,25,110.3,3142.5,53.26,260953.75,138.07,449953.75,-4.28
18,1692962,2326,NSE_FO:NIFTY2471124450PE,11-07-2024 11:05,1,25,215.6,11-07-2024 12:04,0,25,215.6,0.0,0.0,257811.25,136.41,446811.25,-4.95
19,1692310,2326,NSE_FO:NIFTY2471124450PE,10-07-2024 14:15,1,25,237.1,10-07-2024 15:10,0,25,147.15,2248.75,37.94,257811.25,136.41,446811.25,-4.95
20,1692305,2326,NSE_FO:NIFTY2471124500PE,10-07-2024 13:30,1,25,238.85,10-07-2024 14:04,0,25,291.05,-1305.0,-21.85,255562.5,135.22,444562.5,-5.43
21,1692301,2326,NSE_FO:NIFTY2471124050CE,10-07-2024 12:00,1,25,220.0,10-07-2024 12:55,0,25,258.1,-952.5,-17.32,256867.5,135.91,445867.5,-5.15
22,1692297,2326,NSE_FO:NIFTY2471124050CE,10-07-2024 11:50,1,25,205.05,10-07-2024 11:54,0,25,250.0,-1123.75,-21.92,257820.0,136.41,446820.0,-4.95
23,1692294,2326,NSE_FO:NIFTY2471124550PE,10-07-2024 10:20,1,25,210.1,10-07-2024 10:21,0,25,247.6,-937.5,-17.85,258943.75,137.01,447943.75,-4.71
24,1692291,2326,NSE_FO:NIFTY2471124600PE,10-07-2024 09:30,1,25,206.85,10-07-2024 10:10,0,25,242.0,-878.75,-16.99,259881.25,137.5,448881.25,-4.51
25,1691796,2326,NSE_FO:NIFTY2471124200CE,09-07-2024 13:20,1,25,266.3,09-07-2024 15:10,0,25,262.5,95.0,1.43,260760.0,137.97,449760.0,-4.32
26,1691793,2326,NSE_FO:NIFTY2471124150CE,09-07-2024 10:10,1,25,258.35,09-07-2024 13:07,0,25,299.0,-1016.25,-15.73,260665.0,137.92,449665.0,-4.34
27,1691343,2326,NSE_FO:NIFTY2471124500PE,08-07-2024 13:40,1,25,238.25,08-07-2024 15:10,0,25,203.4,871.25,14.63,261681.25,138.46,450681.25,-4.12
28,1691341,2326,NSE_FO:NIFTY2471124500PE,08-07-2024 11:20,1,25,245.2,08-07-2024 13:34,0,25,245.2,0.0,0.0,260810.0,137.99,449810.0,-4.31
29,1691333,2326,NSE_FO:NIFTY2471124500PE,08-07-2024 09:50,1,25,246.0,08-07-2024 11:11,0,25,246.0,0.0,0.0,260810.0,137.99,449810.0,-4.31
