,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage,drawdown,Date
0,1617644,6456,NSE_FO:BANKNIFTY02JUL2021300CE,2020-07-01 09:17:00,SELL,15,313.25,2020-07-01 09:53:00,BUY,15,430.4,-1757.25,-37.4,-1757.25,-0.7,248242.75,-0.7,-1757.25,01-07-2020
1,1617643,6456,NSE_FO:BANKNIFTY02JUL2021300PE,2020-07-01 09:17:00,SELL,15,329.9,2020-07-01 15:09:00,BUY,15,42.85,4305.75,87.01,2548.5,1.02,252548.5,0.0,0.0,01-07-2020
2,1617646,6456,NSE_FO:BANKNIFTY02JUL2021700CE,2020-07-01 09:53:00,SELL,15,219.6,2020-07-01 13:30:00,BUY,15,374.9,-2329.5,-70.72,219.0,0.09,250219.0,-0.92,-2329.5,01-07-2020
3,1617649,6456,NSE_FO:BANKNIFTY02JUL2021700PE,2020-07-01 11:28:00,SELL,15,282.0,2020-07-01 15:09:00,BUY,15,112.0,2550.0,60.28,2769.0,1.11,252769.0,0.0,0.0,01-07-2020
4,1617652,6456,NSE_FO:BANKNIFTY02JUL2022100CE,2020-07-01 13:30:00,SELL,15,162.5,2020-07-01 15:09:00,BUY,15,188.45,-389.25,-15.97,2379.75,0.95,252379.75,-0.15,-389.25,01-07-2020
5,1617656,6456,NSE_FO:BANKNIFTY02JUL2022200CE,2020-07-02 09:17:00,SELL,15,185.2,2020-07-02 09:44:00,BUY,15,229.55,-665.25,-23.95,1714.5,0.69,251714.5,-0.42,-1054.5,02-07-2020
6,1617655,6456,NSE_FO:BANKNIFTY02JUL2022200PE,2020-07-02 09:17:00,SELL,15,161.65,2020-07-02 10:31:00,BUY,15,260.0,-1475.25,-60.84,239.25,0.1,250239.25,-1.0,-2529.75,02-07-2020
7,1617657,6456,NSE_FO:BANKNIFTY02JUL2022400CE,2020-07-02 09:44:00,SELL,15,121.8,2020-07-02 11:26:00,BUY,15,23.1,1480.5,81.03,1719.75,0.69,251719.75,-0.42,-1049.25,02-07-2020
8,1617660,6456,NSE_FO:BANKNIFTY02JUL2022100CE,2020-07-02 10:19:00,SELL,15,199.85,2020-07-02 15:09:00,BUY,15,0.6,2988.75,99.7,4708.5,1.88,254708.5,0.0,0.0,02-07-2020
9,1617661,6456,NSE_FO:BANKNIFTY02JUL2022000PE,2020-07-02 10:31:00,SELL,15,146.0,2020-07-02 15:09:00,BUY,15,27.0,1785.0,81.51,6493.5,2.6,256493.5,0.0,0.0,02-07-2020
10,1617664,6456,NSE_FO:BANKNIFTY02JUL2021900CE,2020-07-02 11:26:00,SELL,15,162.15,2020-07-02 11:37:00,BUY,15,229.45,-1009.5,-41.5,5484.0,2.19,255484.0,-0.39,-1009.5,02-07-2020
11,1617670,6456,NSE_FO:BANKNIFTY09JUL2022100CE,2020-07-03 09:17:00,SELL,15,475.75,2020-07-03 15:09:00,BUY,15,316.05,2395.5,33.57,7879.5,3.15,257879.5,0.0,0.0,03-07-2020
12,1617669,6456,NSE_FO:BANKNIFTY09JUL2022100PE,2020-07-03 09:17:00,SELL,15,500.5,2020-07-03 15:09:00,BUY,15,546.15,-684.75,-9.12,7194.75,2.88,257194.75,-0.27,-684.75,03-07-2020
13,1617673,6456,NSE_FO:BANKNIFTY09JUL2022200CE,2020-07-06 09:17:00,SELL,15,388.2,2020-07-06 15:09:00,BUY,15,348.8,591.0,10.15,7785.75,3.11,257785.75,-0.04,-93.75,06-07-2020
14,1617672,6456,NSE_FO:BANKNIFTY09JUL2022200PE,2020-07-06 09:17:00,SELL,15,354.7,2020-07-06 15:09:00,BUY,15,319.4,529.5,9.95,8315.25,3.33,258315.25,0.0,0.0,06-07-2020
15,1617677,6456,NSE_FO:BANKNIFTY09JUL2022100CE,2020-07-07 09:17:00,SELL,15,336.75,2020-07-07 12:24:00,BUY,15,430.7,-1409.25,-27.9,6906.0,2.76,256906.0,-0.55,-1409.25,07-07-2020
16,1617676,6456,NSE_FO:BANKNIFTY09JUL2022100PE,2020-07-07 09:17:00,SELL,15,305.45,2020-07-07 15:09:00,BUY,15,117.9,2813.25,61.4,9719.25,3.89,259719.25,0.0,0.0,07-07-2020
17,1617678,6456,NSE_FO:BANKNIFTY09JUL2022500CE,2020-07-07 12:24:00,SELL,15,218.4,2020-07-07 15:09:00,BUY,15,361.3,-2143.5,-65.43,7575.75,3.03,257575.75,-0.83,-2143.5,07-07-2020
18,1617679,6456,NSE_FO:BANKNIFTY09JUL2022600PE,2020-07-07 13:27:00,SELL,15,352.75,2020-07-07 15:09:00,BUY,15,283.0,1046.25,19.77,8622.0,3.45,258622.0,-0.42,-1097.25,07-07-2020
19,1617683,6456,NSE_FO:BANKNIFTY09JUL2022700CE,2020-07-08 09:17:00,SELL,15,260.8,2020-07-08 12:35:00,BUY,15,369.75,-1634.25,-41.78,6987.75,2.8,256987.75,-1.05,-2731.5,08-07-2020
20,1617682,6456,NSE_FO:BANKNIFTY09JUL2022700PE,2020-07-08 09:17:00,SELL,15,290.1,2020-07-08 15:09:00,BUY,15,224.55,983.25,22.6,7971.0,3.19,257971.0,-0.67,-1748.25,08-07-2020
21,1617687,6456,NSE_FO:BANKNIFTY09JUL2023100CE,2020-07-08 12:35:00,SELL,15,161.0,2020-07-08 15:09:00,BUY,15,59.4,1524.0,63.11,9495.0,3.8,259495.0,-0.09,-224.25,08-07-2020
22,1617688,6456,NSE_FO:BANKNIFTY09JUL2023000PE,2020-07-08 13:47:00,SELL,15,219.6,2020-07-08 14:36:00,BUY,15,285.85,-993.75,-30.17,8501.25,3.4,258501.25,-0.47,-1218.0,08-07-2020
23,1617692,6456,NSE_FO:BANKNIFTY09JUL2022700CE,2020-07-09 09:17:00,SELL,15,178.5,2020-07-09 09:55:00,BUY,15,214.65,-542.25,-20.25,7959.0,3.18,257959.0,-0.68,-1760.25,09-07-2020
24,1617691,6456,NSE_FO:BANKNIFTY09JUL2022700PE,2020-07-09 09:17:00,SELL,15,138.0,2020-07-09 15:09:00,BUY,15,0.35,2064.75,99.75,10023.75,4.01,260023.75,0.0,0.0,09-07-2020
25,1617694,6456,NSE_FO:BANKNIFTY09JUL2022900CE,2020-07-09 09:55:00,SELL,15,106.75,2020-07-09 15:09:00,BUY,15,4.85,1528.5,95.46,11552.25,4.62,261552.25,0.0,0.0,09-07-2020
26,1617703,6456,NSE_FO:BANKNIFTY16JUL2022700CE,2020-07-10 09:17:00,SELL,15,445.0,2020-07-10 15:09:00,BUY,15,315.2,1947.0,29.17,13499.25,5.4,263499.25,0.0,0.0,10-07-2020
27,1617702,6456,NSE_FO:BANKNIFTY16JUL2022700PE,2020-07-10 09:17:00,SELL,15,425.0,2020-07-10 14:07:00,BUY,15,592.2,-2508.0,-39.34,10991.25,4.4,260991.25,-0.95,-2508.0,10-07-2020
28,1617706,6456,NSE_FO:BANKNIFTY16JUL2022100PE,2020-07-10 14:07:00,SELL,15,287.5,2020-07-10 15:09:00,BUY,15,236.45,765.75,17.76,11757.0,4.7,261757.0,-0.66,-1742.25,10-07-2020
29,1617708,6456,NSE_FO:BANKNIFTY16JUL2022600CE,2020-07-13 09:17:00,SELL,15,386.45,2020-07-13 15:09:00,BUY,15,193.55,2893.5,49.92,14650.5,5.86,264650.5,0.0,0.0,13-07-2020
30,1617707,6456,NSE_FO:BANKNIFTY16JUL2022600PE,2020-07-13 09:17:00,SELL,15,351.1,2020-07-13 11:11:00,BUY,15,590.85,-3596.25,-68.29,11054.25,4.42,261054.25,-1.36,-3596.25,13-07-2020
31,1617710,6456,NSE_FO:BANKNIFTY16JUL2021900PE,2020-07-13 11:11:00,SELL,15,231.7,2020-07-13 15:09:00,BUY,15,207.6,361.5,10.4,11415.75,4.57,261415.75,-1.22,-3234.75,13-07-2020
32,1617715,6456,NSE_FO:BANKNIFTY16JUL2021800CE,2020-07-14 09:17:00,SELL,15,350.0,2020-07-14 15:09:00,BUY,15,143.8,3093.0,58.91,14508.75,5.8,264508.75,-0.05,-141.75,14-07-2020
33,1617713,6456,NSE_FO:BANKNIFTY16JUL2021800PE,2020-07-14 09:17:00,SELL,15,291.7,2020-07-14 10:54:00,BUY,15,452.25,-2408.25,-55.04,12100.5,4.84,262100.5,-0.96,-2550.0,14-07-2020
34,1617717,6456,NSE_FO:BANKNIFTY16JUL2021300PE,2020-07-14 10:54:00,SELL,15,204.0,2020-07-14 15:09:00,BUY,15,266.55,-938.25,-30.66,11162.25,4.46,261162.25,-1.32,-3488.25,14-07-2020
35,1617718,6456,NSE_FO:BANKNIFTY16JUL2021400CE,2020-07-14 13:03:00,SELL,15,295.2,2020-07-14 15:09:00,BUY,15,294.4,12.0,0.27,11174.25,4.47,261174.25,-1.31,-3476.25,14-07-2020
36,1617721,6456,NSE_FO:BANKNIFTY16JUL2021600CE,2020-07-15 09:17:00,SELL,15,286.3,2020-07-15 10:02:00,BUY,15,370.0,-1255.5,-29.24,9918.75,3.97,259918.75,-1.79,-4731.75,15-07-2020
37,1617720,6456,NSE_FO:BANKNIFTY16JUL2021600PE,2020-07-15 09:17:00,SELL,15,286.25,2020-07-15 15:09:00,BUY,15,368.8,-1238.25,-28.84,8680.5,3.47,258680.5,-2.26,-5970.0,15-07-2020
38,1617727,6456,NSE_FO:BANKNIFTY16JUL2022000CE,2020-07-15 10:02:00,SELL,15,171.0,2020-07-15 15:09:00,BUY,15,21.6,2241.0,87.37,10921.5,4.37,260921.5,-1.41,-3729.0,15-07-2020
39,1617731,6456,NSE_FO:BANKNIFTY16JUL2021300CE,2020-07-15 14:36:00,SELL,15,303.3,2020-07-15 15:09:00,BUY,15,198.4,1573.5,34.59,12495.0,5.0,262495.0,-0.81,-2155.5,15-07-2020
40,1617737,6456,NSE_FO:BANKNIFTY16JUL2021200CE,2020-07-16 09:17:00,SELL,15,148.6,2020-07-16 11:56:00,BUY,15,220.75,-1082.25,-48.55,11412.75,4.57,261412.75,-1.22,-3237.75,16-07-2020
41,1617736,6456,NSE_FO:BANKNIFTY16JUL2021200PE,2020-07-16 09:17:00,SELL,15,153.05,2020-07-16 09:26:00,BUY,15,205.0,-779.25,-33.94,10633.5,4.25,260633.5,-1.52,-4017.0,16-07-2020
42,1617739,6456,NSE_FO:BANKNIFTY16JUL2021000PE,2020-07-16 09:26:00,SELL,15,105.05,2020-07-16 15:09:00,BUY,15,0.2,1572.75,99.81,12206.25,4.88,262206.25,-0.92,-2444.25,16-07-2020
43,1617742,6456,NSE_FO:BANKNIFTY16JUL2021300PE,2020-07-16 09:46:00,SELL,15,160.1,2020-07-16 10:55:00,BUY,15,204.7,-669.0,-27.86,11537.25,4.61,261537.25,-1.18,-3113.25,16-07-2020
44,1617746,6456,NSE_FO:BANKNIFTY16JUL2021400PE,2020-07-16 11:21:00,SELL,15,177.3,2020-07-16 12:12:00,BUY,15,181.85,-68.25,-2.57,11469.0,4.59,261469.0,-1.2,-3181.5,16-07-2020
45,1617747,6456,NSE_FO:BANKNIFTY16JUL2021400CE,2020-07-16 11:56:00,SELL,15,90.05,2020-07-16 15:00:00,BUY,15,141.1,-765.75,-56.69,10703.25,4.28,260703.25,-1.49,-3947.25,16-07-2020
46,1617750,6456,NSE_FO:BANKNIFTY16JUL2021600PE,2020-07-16 14:49:00,SELL,15,114.1,2020-07-16 15:09:00,BUY,15,7.5,1599.0,93.43,12302.25,4.92,262302.25,-0.89,-2348.25,16-07-2020
47,1617751,6456,NSE_FO:BANKNIFTY16JUL2021500CE,2020-07-16 15:00:00,SELL,15,49.75,2020-07-16 15:03:00,BUY,15,94.35,-669.0,-89.65,11633.25,4.65,261633.25,-1.14,-3017.25,16-07-2020
48,1617752,6456,NSE_FO:BANKNIFTY16JUL2021600CE,2020-07-16 15:03:00,SELL,15,17.95,2020-07-16 15:09:00,BUY,15,18.3,-5.25,-1.95,11628.0,4.65,261628.0,-1.14,-3022.5,16-07-2020
49,1617754,6456,NSE_FO:BANKNIFTY16JUL2021700CE,2020-07-16 15:09:00,SELL,15,1.6,2020-07-16 15:09:00,BUY,15,1.6,0.0,0.0,11628.0,4.65,261628.0,-1.14,-3022.5,16-07-2020
50,1617756,6456,NSE_FO:BANKNIFTY23JUL2021700CE,2020-07-17 09:17:00,SELL,15,449.4,2020-07-17 15:09:00,BUY,15,496.45,-705.75,-10.47,10922.25,4.37,260922.25,-1.41,-3728.25,17-07-2020
51,1617755,6456,NSE_FO:BANKNIFTY23JUL2021700PE,2020-07-17 09:17:00,SELL,15,433.95,2020-07-17 15:09:00,BUY,15,299.25,2020.5,31.04,12942.75,5.18,262942.75,-0.65,-1707.75,17-07-2020
52,1617760,6456,NSE_FO:BANKNIFTY23JUL2022200CE,2020-07-20 09:17:00,SELL,15,358.2,2020-07-20 15:09:00,BUY,15,434.25,-1140.75,-21.23,11802.0,4.72,261802.0,-1.08,-2848.5,20-07-2020
