,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY02JUL2021300PE [LOCAL],01-07-2020 09:17,9fe00517ce5548ba93082140bd56f733,SELL,15,329.9,INTRADAY,MARKET,01-07-2020 15:10,7436158bc2544e8995ba99a27866e235,BUY,15,38.0,INTRADAY,MARKET,4378.5,4378.5,88.48,5.04,504378.5,0.0
1,NSE_FO:BANKNIFTY02JUL2021300CE [LOCAL],01-07-2020 09:17,b3af7182bf8d4e038d878dc0c5147acb,SELL,15,313.25,INTRADAY,MARKET,01-07-2020 09:53,6618d36e8a634942ab6a3a88cae1ee72,BUY,15,430.4,INTRADAY,MARKET,-1757.25,2621.25,-37.4,-3.51,502621.25,-0.35
2,NSE_FO:BANKNIFTY02JUL2021700CE [LOCAL],01-07-2020 09:53,91b3239988004b809ac7dedf1a50d325,SELL,15,219.6,INTRADAY,MARKET,01-07-2020 13:30,f8938a7067fd46d796757de5e58f6df1,BUY,15,374.9,INTRADAY,MARKET,-2329.5,291.75,-70.72,-8.17,500291.75,-0.81
3,NSE_FO:BANKNIFTY02JUL2021700PE [LOCAL],01-07-2020 11:28,7f0d8bd9c3b6438b8bbe8c4149e69a66,SELL,15,282.0,INTRADAY,MARKET,01-07-2020 15:10,98cfcb9663634b45bcd3226edb03ab46,BUY,15,102.7,INTRADAY,MARKET,2689.5,2981.25,63.58,-2.79,502981.25,-0.28
4,NSE_FO:BANKNIFTY02JUL2022100CE [LOCAL],01-07-2020 13:30,a70c589a325b4b3a9f07bbb54e03ce3a,SELL,15,162.5,INTRADAY,MARKET,01-07-2020 15:10,adfec9f68cf34b27b3e49fa5cf9f51fa,BUY,15,193.4,INTRADAY,MARKET,-463.5,2517.75,-19.02,-3.72,502517.75,-0.37
5,NSE_FO:BANKNIFTY02JUL2022200PE [LOCAL],02-07-2020 09:17,9015a2581c3743409e1f9720e4065482,SELL,15,161.65,INTRADAY,MARKET,02-07-2020 10:31,45e319de77b64d0d9034366f1f0fb347,BUY,15,260.0,INTRADAY,MARKET,-1475.25,1042.5,-60.84,0.75,501042.5,-0.66
6,NSE_FO:BANKNIFTY02JUL2022200CE [LOCAL],02-07-2020 09:17,043c4d4a34b94e0ea8396b14a95997a7,SELL,15,185.2,INTRADAY,MARKET,02-07-2020 09:44,293f17b4769149258ae9c1e0e87adb39,BUY,15,229.55,INTRADAY,MARKET,-665.25,377.25,-23.95,3.71,500377.25,-0.79
7,NSE_FO:BANKNIFTY02JUL2022400CE [LOCAL],02-07-2020 09:44,3c535dbfcd9044e9a283f0724d41586f,SELL,15,121.8,INTRADAY,MARKET,02-07-2020 11:26,f4ea53508e1840e7a41b031fc7dd23a4,BUY,15,23.1,INTRADAY,MARKET,1480.5,1857.75,81.03,3.72,501857.75,-0.5
8,NSE_FO:BANKNIFTY02JUL2022100CE [LOCAL],02-07-2020 10:19,ec457d8a7cc14c64a301e2805cf6ce71,SELL,15,199.85,INTRADAY,MARKET,02-07-2020 15:10,ae6dc31d807b4cb193d91abb27e884af,BUY,15,0.75,INTRADAY,MARKET,2986.5,4844.25,99.62,11.71,504844.25,0.0
9,NSE_FO:BANKNIFTY02JUL2022000PE [LOCAL],02-07-2020 10:31,fe5f0586995b4193a46cf48114599124,SELL,15,146.0,INTRADAY,MARKET,02-07-2020 15:10,c40ad8e80afa4a4ea790920266d84788,BUY,15,11.3,INTRADAY,MARKET,2020.5,6864.75,92.26,5.74,506864.75,0.0
