,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
0,1696589,1032,NSE_FO:BANKNIFTY2472452200PE,23-07-2024 10:02,0,30,549.25,23-07-2024 11:03,1,30,439.4,-3295.5,-20.0,583153.0,971.92,643153.0,-1.88
1,1696081,1032,NSE_FO:BANKNIFTY2472452300PE,22-07-2024 11:48,0,30,565.8,22-07-2024 13:27,1,30,548.0,-534.0,-3.15,586448.5,977.41,646448.5,-1.38
2,1696036,1032,NSE_FO:BANKNIFTY2472452300CE,22-07-2024 10:05,0,30,561.8,22-07-2024 11:46,1,30,523.6,-1146.0,-6.8,586982.5,978.3,646982.5,-1.29
3,1695648,1032,NSE_FO:BANKNIFTY2472452300PE,19-07-2024 14:47,0,30,553.75,19-07-2024 15:10,1,30,571.5,532.5,3.21,588128.5,980.21,648128.5,-1.12
4,1695632,1032,NSE_FO:BANKNIFTY2472452300CE,19-07-2024 13:48,0,30,554.3,19-07-2024 14:46,1,30,542.8,-345.0,-2.07,587596.0,979.33,647596.0,-1.2
5,1695624,1032,NSE_FO:BANKNIFTY2472452200PE,19-07-2024 13:12,0,30,531.55,19-07-2024 13:46,1,30,470.75,-1824.0,-11.44,587941.0,979.9,647941.0,-1.15
6,1695606,1032,NSE_FO:BANKNIFTY2472452300CE,19-07-2024 12:54,0,30,527.6,19-07-2024 13:01,1,30,507.55,-601.5,-3.8,589765.0,982.94,649765.0,-0.87
7,1695605,1032,NSE_FO:BANKNIFTY2472452200PE,19-07-2024 12:36,0,30,533.85,19-07-2024 12:46,1,30,502.25,-948.0,-5.92,590366.5,983.94,650366.5,-0.78
8,1695593,1032,NSE_FO:BANKNIFTY2472452300CE,19-07-2024 12:06,0,30,568.75,19-07-2024 12:35,1,30,505.25,-1905.0,-11.16,591314.5,985.52,651314.5,-0.63
9,1695001,1032,NSE_FO:BANKNIFTY2472452400CE,18-07-2024 12:45,0,30,591.55,18-07-2024 14:33,1,30,709.9,3550.5,20.01,593219.5,988.7,653219.5,-0.34
10,1694966,1032,NSE_FO:BANKNIFTY2472452300PE,18-07-2024 11:17,0,30,551.2,18-07-2024 12:41,1,30,481.7,-2085.0,-12.61,589669.0,982.78,649669.0,-0.88
11,1694906,1032,NSE_FO:BANKNIFTY2472452600CE,18-07-2024 10:02,0,30,618.75,18-07-2024 11:01,1,30,495.0,-3712.5,-20.0,591754.0,986.26,651754.0,-0.57
12,1693823,1032,NSE_FO:BANKNIFTY2471652400CE,15-07-2024 13:11,0,90,209.45,15-07-2024 13:44,1,90,314.2,9427.5,50.01,595466.5,992.44,655466.5,0.0
13,1693819,1032,NSE_FO:BANKNIFTY2471652300PE,15-07-2024 12:47,0,90,212.65,15-07-2024 13:10,1,90,175.3,-3361.5,-17.56,586039.0,976.73,646039.0,-1.05
14,1693817,1032,NSE_FO:BANKNIFTY2471652300CE,15-07-2024 12:43,0,75,230.6,15-07-2024 12:46,1,75,235.2,345.0,1.99,589400.5,982.33,649400.5,-0.53
15,1693792,1032,NSE_FO:BANKNIFTY2471652400CE,15-07-2024 10:47,0,75,254.05,15-07-2024 11:57,1,75,203.2,-3813.75,-20.02,589055.5,981.76,649055.5,-0.58
16,1693352,1032,NSE_FO:BANKNIFTY2471652500PE,12-07-2024 14:27,0,75,261.4,12-07-2024 15:10,1,75,376.65,8643.75,44.09,592869.25,988.12,652869.25,0.0
17,1693343,1032,NSE_FO:BANKNIFTY2471652500CE,12-07-2024 13:32,0,45,337.0,12-07-2024 14:26,1,45,309.05,-1257.75,-8.29,584225.5,973.71,644225.5,-0.47
18,1693331,1032,NSE_FO:BANKNIFTY2471652500PE,12-07-2024 12:48,0,60,278.8,12-07-2024 13:31,1,60,249.5,-1758.0,-10.51,585483.25,975.81,645483.25,-0.27
19,1693298,1032,NSE_FO:BANKNIFTY2471652500CE,12-07-2024 10:56,0,60,294.05,12-07-2024 11:07,1,60,441.1,8823.0,50.01,587241.25,978.74,647241.25,0.0
20,1693281,1032,NSE_FO:BANKNIFTY2471652300PE,12-07-2024 10:34,0,75,263.15,12-07-2024 10:46,1,75,263.15,0.0,0.0,578418.25,964.03,638418.25,-1.24
21,1692769,1032,NSE_FO:BANKNIFTY2471651900CE,11-07-2024 12:33,0,45,390.35,11-07-2024 14:10,1,45,546.5,7026.75,40.0,578418.25,964.03,638418.25,-1.24
22,1692708,1032,NSE_FO:BANKNIFTY2471652200PE,11-07-2024 10:02,0,60,307.55,11-07-2024 10:37,1,60,492.15,11076.0,60.02,571391.5,952.32,631391.5,-2.33
23,1692126,1032,NSE_FO:BANKNIFTY2471052100CE,10-07-2024 15:01,0,360,54.8,10-07-2024 15:09,1,360,82.2,9864.0,50.0,560315.5,933.86,620315.5,-4.04
24,1692121,1032,NSE_FO:BANKNIFTY2471052100CE,10-07-2024 14:52,0,330,59.0,10-07-2024 14:53,1,330,59.0,0.0,0.0,550451.5,917.42,610451.5,-5.57
25,1692092,1032,NSE_FO:BANKNIFTY2471052100CE,10-07-2024 12:37,0,285,69.05,10-07-2024 12:47,1,285,55.2,-3947.25,-20.06,550451.5,917.42,610451.5,-5.57
26,1691665,1032,NSE_FO:BANKNIFTY2471052500PE,09-07-2024 14:57,0,105,189.5,09-07-2024 15:10,1,105,180.1,-987.0,-4.96,554398.75,924.0,614398.75,-4.96
27,1691649,1032,NSE_FO:BANKNIFTY2471052600CE,09-07-2024 13:49,0,120,155.3,09-07-2024 14:56,1,120,136.25,-2286.0,-12.27,555385.75,925.64,615385.75,-4.8
28,1691184,1032,NSE_FO:BANKNIFTY2471052400CE,08-07-2024 13:12,0,60,295.95,08-07-2024 14:01,1,60,295.95,0.0,0.0,557671.75,929.45,617671.75,-4.45
29,1691155,1032,NSE_FO:BANKNIFTY2471052500PE,08-07-2024 11:17,0,60,311.7,08-07-2024 11:52,1,60,374.0,3738.0,19.99,557671.75,929.45,617671.75,-4.45
30,1691130,1032,NSE_FO:BANKNIFTY2471052700CE,08-07-2024 10:30,0,60,292.55,08-07-2024 10:35,1,60,234.0,-3513.0,-20.01,553933.75,923.22,613933.75,-5.03
31,1691125,1032,NSE_FO:BANKNIFTY2471052500CE,08-07-2024 10:02,0,60,274.8,08-07-2024 10:11,1,60,302.25,1647.0,9.99,557446.75,929.08,617446.75,-4.48
32,1690704,1032,NSE_FO:BANKNIFTY2471052600PE,05-07-2024 12:52,0,45,342.15,05-07-2024 13:36,1,45,342.15,0.0,0.0,555799.75,926.33,615799.75,-4.74
33,1690689,1032,NSE_FO:BANKNIFTY2471052600CE,05-07-2024 11:22,0,60,321.75,05-07-2024 12:01,1,60,321.75,0.0,0.0,555799.75,926.33,615799.75,-4.74
34,1690233,1032,NSE_FO:BANKNIFTY2471053000CE,04-07-2024 12:44,0,45,369.65,04-07-2024 14:06,1,45,370.05,18.0,0.11,555799.75,926.33,615799.75,-4.74
35,1690181,1032,NSE_FO:BANKNIFTY2471053200PE,04-07-2024 10:06,0,45,417.2,04-07-2024 11:24,1,45,584.1,7510.5,40.0,555781.75,926.3,615781.75,-4.74
36,1689675,1032,NSE_FO:BANKNIFTY2470353100PE,03-07-2024 14:35,0,540,36.35,03-07-2024 14:36,1,540,29.05,-3942.0,-20.08,548271.25,913.79,608271.25,-5.9
37,1689674,1032,NSE_FO:BANKNIFTY2470353100PE,03-07-2024 14:32,0,420,45.95,03-07-2024 14:34,1,420,36.75,-3864.0,-20.02,552213.25,920.36,612213.25,-5.29
38,1689648,1032,NSE_FO:BANKNIFTY2470353100CE,03-07-2024 12:43,0,180,109.45,03-07-2024 12:53,1,180,87.55,-3942.0,-20.01,556077.25,926.8,616077.25,-4.7
39,1689638,1032,NSE_FO:BANKNIFTY2470353100PE,03-07-2024 11:42,0,165,118.25,03-07-2024 11:55,1,165,94.6,-3902.25,-20.0,560019.25,933.37,620019.25,-4.09
40,1689143,1032,NSE_FO:BANKNIFTY2470352200CE,02-07-2024 13:47,0,60,293.7,02-07-2024 14:10,1,60,234.95,-3525.0,-20.0,563921.5,939.87,623921.5,-3.48
41,1689115,1032,NSE_FO:BANKNIFTY2470352200PE,02-07-2024 11:42,0,60,267.1,02-07-2024 11:49,1,60,267.1,0.0,0.0,567446.5,945.74,627446.5,-2.94
42,1689110,1032,NSE_FO:BANKNIFTY2470352300CE,02-07-2024 11:37,0,60,319.85,02-07-2024 11:41,1,60,255.85,-3840.0,-20.01,567446.5,945.74,627446.5,-2.94
43,1688717,1032,NSE_FO:BANKNIFTY2470352500PE,01-07-2024 15:02,0,60,282.4,01-07-2024 15:10,1,60,228.35,-3243.0,-19.14,571286.5,952.14,631286.5,-2.34
44,1688668,1032,NSE_FO:BANKNIFTY2470352400CE,01-07-2024 10:18,0,45,396.55,01-07-2024 14:38,1,45,396.55,0.0,0.0,574529.5,957.55,634529.5,-1.84
45,1688229,1032,NSE_FO:BANKNIFTY2470352600PE,28-06-2024 14:58,0,45,360.85,28-06-2024 15:10,1,45,422.15,2758.5,16.99,574529.5,957.55,634529.5,-1.84
46,1688168,1032,NSE_FO:BANKNIFTY2470352800PE,28-06-2024 11:18,0,45,389.65,28-06-2024 11:22,1,45,389.65,0.0,0.0,571771.0,952.95,631771.0,-2.27
47,1687655,1032,NSE_FO:BANKNIFTY2470352900PE,27-06-2024 13:08,0,45,428.8,27-06-2024 14:39,1,45,428.8,0.0,0.0,571771.0,952.95,631771.0,-2.27
48,1687579,1032,NSE_FO:BANKNIFTY2470353000CE,27-06-2024 10:02,0,30,522.2,27-06-2024 10:14,1,30,522.2,0.0,0.0,571771.0,952.95,631771.0,-2.27
49,1687082,1032,NSE_FO:BANKNIFTY24JUN52900CE,26-06-2024 13:47,0,210,92.45,26-06-2024 13:59,1,210,73.95,-3885.0,-20.01,571771.0,952.95,631771.0,-2.27
50,1687076,1032,NSE_FO:BANKNIFTY24JUN52900PE,26-06-2024 13:37,0,240,80.6,26-06-2024 13:42,1,240,64.45,-3876.0,-20.04,575656.0,959.43,635656.0,-1.67
51,1687035,1032,NSE_FO:BANKNIFTY24JUN52700CE,26-06-2024 11:05,0,120,162.85,26-06-2024 11:14,1,120,162.85,0.0,0.0,579532.0,965.89,639532.0,-1.07
52,1687032,1032,NSE_FO:BANKNIFTY24JUN52700CE,26-06-2024 11:02,0,105,187.95,26-06-2024 11:04,1,105,150.35,-3948.0,-20.01,579532.0,965.89,639532.0,-1.07
53,1686528,1032,NSE_FO:BANKNIFTY24JUN52200CE,25-06-2024 12:28,0,75,266.3,25-06-2024 12:38,1,75,376.5,8265.0,41.38,583480.0,972.47,643480.0,-0.46
54,1686047,1032,NSE_FO:BANKNIFTY24JUN51600PE,24-06-2024 14:12,0,75,258.5,24-06-2024 14:24,1,75,258.5,0.0,0.0,575215.0,958.69,635215.0,-1.74
55,1686006,1032,NSE_FO:BANKNIFTY24JUN51600CE,24-06-2024 11:05,0,60,305.25,24-06-2024 11:14,1,60,305.25,0.0,0.0,575215.0,958.69,635215.0,-1.74
56,1685479,1032,NSE_FO:BANKNIFTY24JUN51700CE,21-06-2024 15:02,0,60,318.65,21-06-2024 15:09,1,60,254.9,-3825.0,-20.01,575215.0,958.69,635215.0,-1.74
57,1685475,1032,NSE_FO:BANKNIFTY24JUN51600PE,21-06-2024 14:57,0,45,338.15,21-06-2024 15:01,1,45,309.7,-1280.25,-8.41,579040.0,965.07,639040.0,-1.14
58,1685449,1032,NSE_FO:BANKNIFTY24JUN51600CE,21-06-2024 14:04,0,45,377.3,21-06-2024 14:10,1,45,377.3,0.0,0.0,580320.25,967.2,640320.25,-0.95
59,1685436,1032,NSE_FO:BANKNIFTY24JUN51400PE,21-06-2024 13:07,0,60,327.8,21-06-2024 13:23,1,60,351.2,1404.0,7.14,580320.25,967.2,640320.25,-0.95
60,1685415,1032,NSE_FO:BANKNIFTY24JUN51500CE,21-06-2024 12:24,0,45,370.45,21-06-2024 13:06,1,45,307.35,-2839.5,-17.03,578916.25,964.86,638916.25,-1.16
61,1685385,1032,NSE_FO:BANKNIFTY24JUN51600PE,21-06-2024 10:02,0,45,340.15,21-06-2024 11:08,1,45,374.15,1530.0,10.0,581755.75,969.59,641755.75,-0.72
62,1684899,1032,NSE_FO:BANKNIFTY24JUN51600CE,20-06-2024 11:27,0,45,375.6,20-06-2024 12:30,1,45,413.15,1689.75,10.0,580225.75,967.04,640225.75,-0.96
63,1683231,1032,NSE_FO:BANKNIFTY2461950000CE,14-06-2024 14:36,0,75,262.1,14-06-2024 15:08,1,75,262.1,0.0,0.0,578536.0,964.23,638536.0,-1.22
64,1683225,1032,NSE_FO:BANKNIFTY2461950000PE,14-06-2024 14:17,0,60,286.7,14-06-2024 14:35,1,60,263.05,-1419.0,-8.25,578536.0,964.23,638536.0,-1.22
65,1683191,1032,NSE_FO:BANKNIFTY2461950000PE,14-06-2024 12:07,0,60,272.7,14-06-2024 13:26,1,60,261.7,-660.0,-4.03,579955.0,966.59,639955.0,-1.0
66,1683174,1032,NSE_FO:BANKNIFTY2461950100CE,14-06-2024 10:28,0,60,303.6,14-06-2024 11:29,1,60,242.85,-3645.0,-20.01,580615.0,967.69,640615.0,-0.9
67,1682744,1032,NSE_FO:BANKNIFTY2461949900PE,13-06-2024 13:37,0,60,329.75,13-06-2024 15:10,1,60,352.9,1389.0,7.02,584260.0,973.77,644260.0,-0.34
68,1682683,1032,NSE_FO:BANKNIFTY2461950000CE,13-06-2024 10:02,0,45,395.65,13-06-2024 10:30,1,45,316.5,-3561.75,-20.01,582871.0,971.45,642871.0,-0.55
69,1682067,1032,NSE_FO:BANKNIFTY2461250100PE,12-06-2024 12:02,0,195,99.65,12-06-2024 12:15,1,195,129.55,5830.5,30.01,586432.75,977.39,646432.75,0.0
70,1681615,1032,NSE_FO:BANKNIFTY2461249800PE,11-06-2024 14:33,0,105,179.55,11-06-2024 15:08,1,105,197.5,1884.75,10.0,580602.25,967.67,640602.25,-0.9
71,1681600,1032,NSE_FO:BANKNIFTY2461249900CE,11-06-2024 13:18,0,90,210.3,11-06-2024 13:53,1,90,231.3,1890.0,9.99,578717.5,964.53,638717.5,-1.19
72,1681581,1032,NSE_FO:BANKNIFTY2461249800PE,11-06-2024 12:01,0,75,241.8,11-06-2024 12:55,1,75,193.4,-3630.0,-20.02,576827.5,961.38,636827.5,-1.48
73,1681567,1032,NSE_FO:BANKNIFTY2461249800CE,11-06-2024 10:31,0,60,276.05,11-06-2024 10:45,1,60,276.05,0.0,0.0,580457.5,967.43,640457.5,-0.92
74,1681560,1032,NSE_FO:BANKNIFTY2461249800CE,11-06-2024 10:27,0,60,270.4,11-06-2024 10:30,1,60,270.4,0.0,0.0,580457.5,967.43,640457.5,-0.92
75,1681125,1032,NSE_FO:BANKNIFTY2461249800PE,10-06-2024 14:47,0,45,366.45,10-06-2024 15:10,1,45,408.95,1912.5,11.6,580457.5,967.43,640457.5,-0.92
76,1681100,1032,NSE_FO:BANKNIFTY2461249900CE,10-06-2024 13:18,0,45,371.05,10-06-2024 13:48,1,45,445.3,3341.25,20.01,578545.0,964.24,638545.0,-1.22
77,1681078,1032,NSE_FO:BANKNIFTY2461250000CE,10-06-2024 11:42,0,45,361.65,10-06-2024 12:31,1,45,305.7,-2517.75,-15.47,575203.75,958.67,635203.75,-1.73
78,1681067,1032,NSE_FO:BANKNIFTY2461250000PE,10-06-2024 10:12,0,30,483.1,10-06-2024 10:58,1,30,483.1,0.0,0.0,577721.5,962.87,637721.5,-1.35
79,1680641,1032,NSE_FO:BANKNIFTY2461249800PE,07-06-2024 13:44,0,30,492.65,07-06-2024 14:22,1,30,425.5,-2014.5,-13.63,577721.5,962.87,637721.5,-1.35
80,1680129,1032,NSE_FO:BANKNIFTY2461249000PE,06-06-2024 14:42,0,30,616.3,06-06-2024 14:47,1,30,493.0,-3699.0,-20.01,579736.0,966.23,639736.0,-1.03
81,1680117,1032,NSE_FO:BANKNIFTY2461249200CE,06-06-2024 13:57,0,30,656.85,06-06-2024 14:41,1,30,557.4,-2983.5,-15.14,583435.0,972.39,643435.0,-0.46
82,1680089,1032,NSE_FO:BANKNIFTY2461249400PE,06-06-2024 12:00,0,30,629.3,06-06-2024 12:22,1,30,629.3,0.0,0.0,586418.5,977.36,646418.5,0.0
83,1679364,1032,NSE_FO:BANKNIFTY2460547600CE,05-06-2024 11:12,0,60,313.25,05-06-2024 11:17,1,60,344.6,1881.0,10.01,586418.5,977.36,646418.5,0.0
84,1678779,1032,NSE_FO:BANKNIFTY2460547200PE,04-06-2024 14:52,0,15,670.55,04-06-2024 15:07,1,15,871.7,3017.25,30.0,584537.5,974.23,644537.5,0.0
85,1678760,1032,NSE_FO:BANKNIFTY2460547400CE,04-06-2024 13:47,0,15,710.05,04-06-2024 13:58,1,15,852.1,2130.75,20.01,581520.25,969.2,641520.25,-0.26
86,1678718,1032,NSE_FO:BANKNIFTY2460549400PE,04-06-2024 10:01,0,15,898.45,04-06-2024 10:25,1,15,898.45,0.0,0.0,579389.5,965.65,639389.5,-0.59
87,1678287,1032,NSE_FO:BANKNIFTY2460550800CE,03-06-2024 14:28,0,15,709.95,03-06-2024 15:10,1,15,809.75,1497.0,14.06,579389.5,965.65,639389.5,-0.59
88,1677861,1032,NSE_FO:BANKNIFTY2460548900PE,31-05-2024 14:47,0,15,908.75,31-05-2024 15:10,1,15,908.5,-3.75,-0.03,577892.5,963.15,637892.5,-0.82
89,1677825,1032,NSE_FO:BANKNIFTY2460548700CE,31-05-2024 12:31,0,15,903.25,31-05-2024 14:32,1,15,1083.95,2710.5,20.01,577896.25,963.16,637896.25,-0.82
