,Unnamed: 0,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,0,NSE_FO:NIFTY05JAN2318150PE [LOCAL],2023-01-01 09:17:00+05:30,d12335a8d0da4b58a6c4202f546e10bc,SELL,50,104.0,INTRADAY,MARKET,2023-01-01 15:10:00+05:30,60adb77c0aa7469f9ba65f3ebcc0fbc0,BUY,50,104.0,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
1,1,NSE_FO:NIFTY05JAN2318150CE [LOCAL],2023-01-01 09:17:00+05:30,c1eb8f3dafe14669bc0f4a2a0b6e5d93,SELL,50,103.0,INTRADAY,MARKET,2023-01-01 15:10:00+05:30,f81dbfe8866c4a79acd661b11aaac992,BUY,50,103.0,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
2,2,NSE_FO:NIFTY05JAN2318150CE [LOCAL],2023-01-02 09:17:00+05:30,3549d3e3057047a1a398531a6ed1016b,SELL,50,102.05,INTRADAY,MARKET,2023-01-02 14:52:00+05:30,d0dd3f7c90294a78b81938950a9b631e,BUY,50,137.3,INTRADAY,MARKET,-1762.5,-1762.5,-34.54,-3.52,48237.5,-3.53
3,3,NSE_FO:NIFTY05JAN2318150PE [LOCAL],2023-01-02 09:17:00+05:30,b2b7a9e8b5524e90bc9542ae273cc921,SELL,50,109.0,INTRADAY,MARKET,2023-01-02 15:10:00+05:30,09269b78723b49a1a591b13e7b4aced3,BUY,50,64.8,INTRADAY,MARKET,2210.0,447.5,40.55,0.9,50447.5,0.0
4,4,NSE_FO:NIFTY05JAN2318300CE [LOCAL],2023-01-02 14:52:00+05:30,f6b30c27a7fd4883a948a6a06b28a0f2,SELL,50,62.35,INTRADAY,MARKET,2023-01-02 15:10:00+05:30,375db48c89634ad88cdc1990891cff2d,BUY,50,54.4,INTRADAY,MARKET,397.5,845.0,12.75,1.69,50845.0,0.0
5,5,NSE_FO:NIFTY05JAN2318200CE [LOCAL],2023-01-03 09:17:00+05:30,e85574a1748d4633a823e5da6644ffad,SELL,50,78.0,INTRADAY,MARKET,2023-01-03 14:45:00+05:30,272fc032fb2948ab88ace482267721af,BUY,50,106.85,INTRADAY,MARKET,-1442.5,-597.5,-36.99,-1.2,49402.5,-2.84
6,6,NSE_FO:NIFTY05JAN2318200PE [LOCAL],2023-01-03 09:17:00+05:30,8dc27be74ec943cd809a91d1848df525,SELL,50,100.1,INTRADAY,MARKET,2023-01-03 15:10:00+05:30,3d94ca82da8a4d8d967a66a7f7dd793b,BUY,50,49.35,INTRADAY,MARKET,2537.5,1940.0,50.7,3.88,51940.0,0.0
7,7,NSE_FO:NIFTY05JAN2318300CE [LOCAL],2023-01-03 14:45:00+05:30,11706058527b4781868563c6a725af5c,SELL,50,54.75,INTRADAY,MARKET,2023-01-03 15:10:00+05:30,8469465918e04d48baca233bb311c9ca,BUY,50,51.4,INTRADAY,MARKET,167.5,2107.5,6.12,4.21,52107.5,0.0
8,8,NSE_FO:NIFTY05JAN2318200PE [LOCAL],2023-01-04 09:17:00+05:30,d53db193b8a44fa5a96f3bd50f753bc1,SELL,50,59.8,INTRADAY,MARKET,2023-01-04 09:56:00+05:30,9ace9ca7294944e896f7bfaed2f5fc2e,BUY,50,98.0,INTRADAY,MARKET,-1910.0,197.5,-63.88,0.4,50197.5,-3.67
9,9,NSE_FO:NIFTY05JAN2318100PE [LOCAL],2023-01-04 09:56:00+05:30,8a4de8c6b4c44c62a8e61f83ac2a32a5,SELL,50,48.5,INTRADAY,MARKET,2023-01-04 12:10:00+05:30,90ba5db6ef9d404a9341e9e9370ba1c0,BUY,50,104.2,INTRADAY,MARKET,-2785.0,-2587.5,-114.85,-5.17,47412.5,-9.01
10,10,NSE_FO:NIFTY05JAN2318100CE [LOCAL],2023-01-04 11:09:00+05:30,b83efaff94694c7eb4eaae1ccf6f13ea,SELL,50,71.0,INTRADAY,MARKET,2023-01-04 12:10:00+05:30,4eb9a193807a4fb7a596101c4bb5e366,BUY,50,53.0,INTRADAY,MARKET,900.0,-1687.5,25.35,-3.38,48312.5,-7.28
11,11,NSE_FO:NIFTY05JAN2318200CE [LOCAL],2023-01-04 09:17:00+05:30,96afa98591e14601a09619e95a813893,SELL,50,79.0,INTRADAY,MARKET,2023-01-04 12:10:00+05:30,de96ae583c8f4d429c095f091ee8a912,BUY,50,24.7,INTRADAY,MARKET,2715.0,1027.5,68.73,2.05,51027.5,-2.07
12,12,NSE_FO:NIFTY05JAN2318050CE [LOCAL],2023-01-04 12:10:00+05:30,37e4dd51dbfa4110a293cc55e6527ba0,SELL,50,75.55,INTRADAY,MARKET,2023-01-04 13:36:00+05:30,5134c6693b10408eb19068526596830e,BUY,50,92.5,INTRADAY,MARKET,-847.5,180.0,-22.44,0.36,50180.0,-3.7
13,13,NSE_FO:NIFTY05JAN2318150PE [LOCAL],2023-01-04 14:05:00+05:30,1779d3b8d7264416a399c0118f0963f3,SELL,50,67.85,INTRADAY,MARKET,2023-01-04 14:21:00+05:30,ad027a37e668452fa5da13c43f03f43b,BUY,50,89.5,INTRADAY,MARKET,-1082.5,-902.5,-31.91,-1.8,49097.5,-5.78
14,14,NSE_FO:NIFTY05JAN2318050PE [LOCAL],2023-01-04 12:10:00+05:30,1ec2e30b889f4148acfd5c9ebc9b4023,SELL,50,76.35,INTRADAY,MARKET,2023-01-04 15:10:00+05:30,ff3c6316abe540c7bd7d9df5ece94f4e,BUY,50,45.2,INTRADAY,MARKET,1557.5,655.0,40.8,1.31,50655.0,-2.79
15,15,NSE_FO:NIFTY05JAN2318150CE [LOCAL],2023-01-04 13:36:00+05:30,a5e11d196320431ca9733d5b2c2f789a,SELL,50,44.35,INTRADAY,MARKET,2023-01-04 15:10:00+05:30,58937487c7fe4ba2ad2b4f28dcb5631f,BUY,50,27.65,INTRADAY,MARKET,835.0,1490.0,37.66,2.98,51490.0,-1.19
16,16,NSE_FO:NIFTY05JAN2318050CE [LOCAL],2023-01-05 09:17:00+05:30,b2730ac3ffca458e95e26531733160e4,SELL,50,58.05,INTRADAY,MARKET,2023-01-05 09:29:00+05:30,417af01455e14a94afa3a8d9db2750c2,BUY,50,65.9,INTRADAY,MARKET,-392.5,1097.5,-13.52,2.2,51097.5,-1.94
17,17,NSE_FO:NIFTY05JAN2318150PE [LOCAL],2023-01-05 09:34:00+05:30,16110bf0520642ec859cdce1771fa60e,SELL,50,62.75,INTRADAY,MARKET,2023-01-05 09:40:00+05:30,5439ecd049dc4aeebebd25b8f83ee7fd,BUY,50,86.15,INTRADAY,MARKET,-1170.0,-72.5,-37.29,-0.14,49927.5,-4.18
18,18,NSE_FO:NIFTY05JAN2318050PE [LOCAL],2023-01-05 09:17:00+05:30,eac2661a9f8f4137bf6e44c8aae6379e,SELL,50,45.2,INTRADAY,MARKET,2023-01-05 09:40:00+05:30,a610c377e55d410c93adb7aba0933fac,BUY,50,32.3,INTRADAY,MARKET,645.0,572.5,28.54,1.15,50572.5,-2.95
